"gene set";"p-value";"fdr"
"BLOC-1 complex";"0.666666666666667      .";"1      ."
"carbohydrate phosphorylation";"0.666666666666667      .";"1      ."
"cellular response to estrogen stimulus";"0.666666666666667      .";"1      ."
"cholesterol biosynthetic process";"0.666666666666667      .";"1      ."
"condensed chromosome kinetochore";"0.666666666666667      .";"1      ."
"Cul4-RING E3 ubiquitin ligase complex";"0.666666666666667      .";"1      ."
"cullin-RING ubiquitin ligase complex";"0.666666666666667      .";"1      ."
"defense response to bacterium";"0.666666666666667      .";"1      ."
"defense response to virus";"0.666666666666667      .";"1      ."
"determination of left/right asymmetry in lateral mesoderm";"0.666666666666667      .";"1      ."
"embryonic heart tube morphogenesis";"0.666666666666667      .";"1      ."
"endopeptidase inhibitor activity";"0.666666666666667      .";"1      ."
"endosomal transport";"0.666666666666667      .";"1      ."
"ferric iron binding";"0.666666666666667      .";"1      ."
"fructose metabolic process";"0.666666666666667      .";"1      ."
"glycogen biosynthetic process";"0.666666666666667      .";"1      ."
"glycogen metabolic process";"0.666666666666667      .";"1      ."
"glycolipid biosynthetic process";"0.666666666666667      .";"1      ."
"GTPase activity";"0.666666666666667      .";"1      ."
"hematopoietic stem cell differentiation";"0.666666666666667      .";"1      ."
"hormone-mediated signaling pathway";"0.666666666666667      .";"1      ."
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"0.666666666666667      .";"1      ."
"inactivation of MAPK activity";"0.666666666666667      .";"1      ."
"innate immune response";"0.666666666666667      .";"1      ."
"integral component of mitochondrial inner membrane";"0.666666666666667      .";"1      ."
"intracellular membrane-bounded organelle";"0.666666666666667      .";"1      ."
"iron ion transport";"0.666666666666667      .";"1      ."
"L-alpha-amino acid transmembrane transport";"0.666666666666667      .";"1      ."
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"0.666666666666667      .";"1      ."
"mitochondrial electron transport, cytochrome c to oxygen";"0.666666666666667      .";"1      ."
"mitochondrial electron transport, NADH to ubiquinone";"0.666666666666667      .";"1      ."
"mitochondrial envelope";"0.666666666666667      .";"1      ."
"mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)";"0.666666666666667      .";"1      ."
"mitochondrial translation";"0.666666666666667      .";"1      ."
"motor activity";"0.666666666666667      .";"1      ."
"MyD88-dependent toll-like receptor signaling pathway";"0.666666666666667      .";"1      ."
"myeloid cell development";"0.666666666666667      .";"1      ."
"negative regulation of catalytic activity";"0.666666666666667      .";"1      ."
"non-membrane spanning protein tyrosine kinase activity";"0.666666666666667      .";"1      ."
"nuclear pore";"0.666666666666667      .";"1      ."
"pancreas development";"0.666666666666667      .";"1      ."
"platelet activation";"0.666666666666667      .";"1      ."
"pronephric glomerulus development";"0.666666666666667      .";"1      ."
"protein-chromophore linkage";"0.666666666666667      .";"1      ."
"protein-cysteine S-palmitoyltransferase activity";"0.666666666666667      .";"1      ."
"protein N-linked glycosylation via asparagine";"0.666666666666667      .";"1      ."
"protein processing";"0.666666666666667      .";"1      ."
"proton-transporting ATPase activity, rotational mechanism";"0.666666666666667      .";"1      ."
"proton-transporting V-type ATPase, V0 domain";"0.666666666666667      .";"1      ."
"recycling endosome";"0.666666666666667      .";"1      ."
"regulation of cell differentiation";"0.666666666666667      .";"1      ."
"regulation of heart contraction";"0.666666666666667      .";"1      ."
"regulation of mitotic cell cycle";"0.666666666666667      .";"1      ."
"ribosomal large subunit assembly";"0.666666666666667      .";"1      ."
"ribosomal large subunit biogenesis";"0.666666666666667      .";"1      ."
"serine-type endopeptidase inhibitor activity";"0.666666666666667      .";"1      ."
"single-stranded RNA binding";"0.666666666666667      .";"1      ."
"skeletal muscle contraction";"0.666666666666667      .";"1      ."
"snoRNA binding";"0.666666666666667      .";"1      ."
"thiol-dependent ubiquitin-specific protease activity";"0.666666666666667      .";"1      ."
"thymus development";"0.666666666666667      .";"1      ."
"translation";"0.666666666666667      .";"1      ."
"translation initiation factor activity";"0.666666666666667      .";"1      ."
"translational initiation";"0.666666666666667      .";"1      ."
"transmembrane transport";"0.666666666666667      .";"1      ."
"ubiquitin-protein transferase activity";"0.666666666666667      .";"1      ."
"ubiquitin ligase complex";"0.666666666666667      .";"1      ."
"vacuolar acidification";"0.666666666666667      .";"1      ."
"vacuolar proton-transporting V-type ATPase, V0 domain";"0.666666666666667      .";"1      ."
"vesicle docking involved in exocytosis";"0.666666666666667      .";"1      ."
"3'-5' exonuclease activity";"0.722222222222222      .";"1      ."
"5'-nucleotidase activity";"0.722222222222222      .";"1      ."
"actin binding";"0.722222222222222      .";"1      ."
"actin filament binding";"0.722222222222222      .";"1      ."
"activation of MAPK activity";"0.722222222222222      .";"1      ."
"adaptive immune response";"0.722222222222222      .";"1      ."
"ADP transport";"0.722222222222222      .";"1      ."
"antigen processing and presentation";"0.722222222222222      .";"1      ."
"apoptotic process";"0.722222222222222      .";"1      ."
"ATP synthesis coupled proton transport";"0.722222222222222      .";"1      ."
"ATP transport";"0.722222222222222      .";"1      ."
"bicellular tight junction assembly";"0.722222222222222      .";"1      ."
"blood microparticle";"0.722222222222222      .";"1      ."
"carbohydrate binding";"0.722222222222222      .";"1      ."
"CCR chemokine receptor binding";"0.722222222222222      .";"1      ."
"cell chemotaxis";"0.722222222222222      .";"1      ."
"cellular glucose homeostasis";"0.722222222222222      .";"1      ."
"cellular response to interferon-gamma";"0.722222222222222      .";"1      ."
"cellular response to interleukin-1";"0.722222222222222      .";"1      ."
"cellular response to tumor necrosis factor";"0.722222222222222      .";"1      ."
"chemokine-mediated signaling pathway";"0.722222222222222      .";"1      ."
"chemokine receptor activity";"0.722222222222222      .";"1      ."
"cholesterol efflux";"0.722222222222222      .";"1      ."
"chylomicron";"0.722222222222222      .";"1      ."
"convergent extension involved in axis elongation";"0.722222222222222      .";"1      ."
"DNA-directed RNA polymerase I complex";"0.722222222222222      .";"1      ."
"DNA-directed RNA polymerase III complex";"0.722222222222222      .";"1      ."
"DNA integration";"0.722222222222222      .";"1      ."
"DNA topological change";"0.722222222222222      .";"1      ."
"endocytic recycling";"0.722222222222222      .";"1      ."
"endoderm development";"0.722222222222222      .";"1      ."
"endoderm formation";"0.722222222222222      .";"1      ."
"erythrocyte development";"0.722222222222222      .";"1      ."
"erythrocyte maturation";"0.722222222222222      .";"1      ."
"execution phase of apoptosis";"0.722222222222222      .";"1      ."
"extrinsic component of cytoplasmic side of plasma membrane";"0.722222222222222      .";"1      ."
"fructose 6-phosphate metabolic process";"0.722222222222222      .";"1      ."
"G-protein coupled receptor binding";"0.722222222222222      .";"1      ."
"GDP-dissociation inhibitor activity";"0.722222222222222      .";"1      ."
"GTP-Rho binding";"0.722222222222222      .";"1      ."
"GTP binding";"0.722222222222222      .";"1      ."
"GTPase regulator activity";"0.722222222222222      .";"1      ."
"heme biosynthetic process";"0.722222222222222      .";"1      ."
"high-density lipoprotein particle";"0.722222222222222      .";"1      ."
"hydrogen ion transmembrane transporter activity";"0.722222222222222      .";"1      ."
"inflammatory response";"0.722222222222222      .";"1      ."
"inositol-1,4,5-trisphosphate 3-kinase activity";"0.722222222222222      .";"1      ."
"integrin complex";"0.722222222222222      .";"1      ."
"intracellular";"0.722222222222222      .";"1      ."
"intrahepatic bile duct development";"0.722222222222222      .";"1      ."
"intrinsic apoptotic signaling pathway in response to DNA damage";"0.722222222222222      .";"1      ."
"Kupffer's vesicle development";"0.722222222222222      .";"1      ."
"lamellipodium";"0.722222222222222      .";"1      ."
"late endosome membrane";"0.722222222222222      .";"1      ."
"lipid binding";"0.722222222222222      .";"1      ."
"lipoprotein metabolic process";"0.722222222222222      .";"1      ."
"lymphocyte chemotaxis";"0.722222222222222      .";"1      ."
"macrophage differentiation";"0.722222222222222      .";"1      ."
"MAP kinase tyrosine/serine/threonine phosphatase activity";"0.722222222222222      .";"1      ."
"MAPK cascade";"0.722222222222222      .";"1      ."
"maturation of SSU-rRNA";"0.722222222222222      .";"1      ."
"melanosome";"0.722222222222222      .";"1      ."
"melanosome organization";"0.722222222222222      .";"1      ."
"membrane coat";"0.722222222222222      .";"1      ."
"mitochondrial membrane";"0.722222222222222      .";"1      ."
"mitochondrial outer membrane";"0.722222222222222      .";"1      ."
"monocyte chemotaxis";"0.722222222222222      .";"1      ."
"NAD+ kinase activity";"0.722222222222222      .";"1      ."
"neuropeptide Y receptor activity";"0.722222222222222      .";"1      ."
"neutrophil chemotaxis";"0.722222222222222      .";"1      ."
"phosphate ion transmembrane transport";"0.722222222222222      .";"1      ."
"phosphatidylinositol 3-kinase complex";"0.722222222222222      .";"1      ."
"polysaccharide binding";"0.722222222222222      .";"1      ."
"protein disulfide isomerase activity";"0.722222222222222      .";"1      ."
"protein kinase C activity";"0.722222222222222      .";"1      ."
"protein ubiquitination";"0.722222222222222      .";"1      ."
"Rab GTPase binding";"0.722222222222222      .";"1      ."
"receptor binding";"0.722222222222222      .";"1      ."
"regulation of actin filament polymerization";"0.722222222222222      .";"1      ."
"regulation of autophagy";"0.722222222222222      .";"1      ."
"retrograde transport, endosome to Golgi";"0.722222222222222      .";"1      ."
"RNA polymerase I activity";"0.722222222222222      .";"1      ."
"RNA polymerase III activity";"0.722222222222222      .";"1      ."
"serine-type carboxypeptidase activity";"0.722222222222222      .";"1      ."
"small-subunit processome";"0.722222222222222      .";"1      ."
"small protein activating enzyme activity";"0.722222222222222      .";"1      ."
"SNARE binding";"0.722222222222222      .";"1      ."
"spindle assembly";"0.722222222222222      .";"1      ."
"superoxide metabolic process";"0.722222222222222      .";"1      ."
"telomere maintenance";"0.722222222222222      .";"1      ."
"thiolester hydrolase activity";"0.722222222222222      .";"1      ."
"transcription factor TFIID complex";"0.722222222222222      .";"1      ."
"transcription from RNA polymerase III promoter";"0.722222222222222      .";"1      ."
"transcription initiation from RNA polymerase II promoter";"0.722222222222222      .";"1      ."
"triglyceride catabolic process";"0.722222222222222      .";"1      ."
"Z disc";"0.722222222222222      .";"1      ."
"zinc II ion transport";"0.722222222222222      .";"1      ."
"1-phosphatidylinositol-3-kinase activity";"0.777777777777778      .";"1      ."
"acrosin binding";"0.777777777777778      .";"1      ."
"actin filament polymerization";"0.777777777777778      .";"1      ."
"alpha-(1->3)-fucosyltransferase activity";"0.777777777777778      .";"1      ."
"amino acid transport";"0.777777777777778      .";"1      ."
"aminopeptidase activity";"0.777777777777778      .";"1      ."
"anaphase-promoting complex";"0.777777777777778      .";"1      ."
"aromatic amino acid family metabolic process";"0.777777777777778      .";"1      ."
"Arp2/3 protein complex";"0.777777777777778      .";"1      ."
"ATP-dependent DNA helicase activity";"0.777777777777778      .";"1      ."
"autophagosome";"0.777777777777778      .";"1      ."
"binding of sperm to zona pellucida";"0.777777777777778      .";"1      ."
"cardiac muscle cell proliferation";"0.777777777777778      .";"1      ."
"cellular protein modification process";"0.777777777777778      .";"1      ."
"chloride channel complex";"0.777777777777778      .";"1      ."
"cholesterol transporter activity";"0.777777777777778      .";"1      ."
"cilium organization";"0.777777777777778      .";"1      ."
"clathrin adaptor complex";"0.777777777777778      .";"1      ."
"cyclin-dependent protein serine/threonine kinase activity";"0.777777777777778      .";"1      ."
"cyclin binding";"0.777777777777778      .";"1      ."
"developmental pigmentation";"0.777777777777778      .";"1      ."
"DNA-directed RNA polymerase II, core complex";"0.777777777777778      .";"1      ."
"egg coat formation";"0.777777777777778      .";"1      ."
"embryonic heart tube development";"0.777777777777778      .";"1      ."
"embryonic organ development";"0.777777777777778      .";"1      ."
"endosome membrane";"0.777777777777778      .";"1      ."
"enzyme regulator activity";"0.777777777777778      .";"1      ."
"G-protein coupled acetylcholine receptor activity";"0.777777777777778      .";"1      ."
"glomerulus development";"0.777777777777778      .";"1      ."
"Golgi apparatus";"0.777777777777778      .";"1      ."
"GTP biosynthetic process";"0.777777777777778      .";"1      ."
"heart contraction";"0.777777777777778      .";"1      ."
"heme binding";"0.777777777777778      .";"1      ."
"immune response";"0.777777777777778      .";"1      ."
"integrin-mediated signaling pathway";"0.777777777777778      .";"1      ."
"isomerase activity";"0.777777777777778      .";"1      ."
"late endosome";"0.777777777777778      .";"1      ."
"ligand-dependent nuclear receptor transcription coactivator activity";"0.777777777777778      .";"1      ."
"lipid transporter activity";"0.777777777777778      .";"1      ."
"M band";"0.777777777777778      .";"1      ."
"mannosyl-oligosaccharide 1,2-alpha-mannosidase activity";"0.777777777777778      .";"1      ."
"membrane raft";"0.777777777777778      .";"1      ."
"mitochondrial intermembrane space";"0.777777777777778      .";"1      ."
"mitochondrial matrix";"0.777777777777778      .";"1      ."
"mitochondrial respiratory chain complex IV";"0.777777777777778      .";"1      ."
"mitochondrial small ribosomal subunit";"0.777777777777778      .";"1      ."
"mitochondrial transport";"0.777777777777778      .";"1      ."
"monocarboxylic acid transmembrane transporter activity";"0.777777777777778      .";"1      ."
"monocarboxylic acid transport";"0.777777777777778      .";"1      ."
"myeloid cell differentiation";"0.777777777777778      .";"1      ."
"myosin complex";"0.777777777777778      .";"1      ."
"N-glycan processing";"0.777777777777778      .";"1      ."
"NADP binding";"0.777777777777778      .";"1      ."
"nucleoplasm";"0.777777777777778      .";"1      ."
"nucleotide metabolic process";"0.777777777777778      .";"1      ."
"peptidyl-tyrosine autophosphorylation";"0.777777777777778      .";"1      ."
"phosphatidylinositol-3-phosphate biosynthetic process";"0.777777777777778      .";"1      ."
"phosphatidylinositol-mediated signaling";"0.777777777777778      .";"1      ."
"phosphatidylinositol phosphorylation";"0.777777777777778      .";"1      ."
"positive regulation of acrosome reaction";"0.777777777777778      .";"1      ."
"positive regulation of actin filament polymerization";"0.777777777777778      .";"1      ."
"proteasome-mediated ubiquitin-dependent protein catabolic process";"0.777777777777778      .";"1      ."
"protein deubiquitination";"0.777777777777778      .";"1      ."
"protein folding";"0.777777777777778      .";"1      ."
"proton-transporting ATP synthase activity, rotational mechanism";"0.777777777777778      .";"1      ."
"proton transport";"0.777777777777778      .";"1      ."
"regulation of heart rate";"0.777777777777778      .";"1      ."
"regulation of nucleic acid-templated transcription";"0.777777777777778      .";"1      ."
"regulation of translation";"0.777777777777778      .";"1      ."
"regulation of translational initiation";"0.777777777777778      .";"1      ."
"regulation of Wnt signaling pathway";"0.777777777777778      .";"1      ."
"response to zinc ion";"0.777777777777778      .";"1      ."
"ribosome biogenesis";"0.777777777777778      .";"1      ."
"RNA-dependent DNA biosynthetic process";"0.777777777777778      .";"1      ."
"RNA-directed DNA polymerase activity";"0.777777777777778      .";"1      ."
"rRNA processing";"0.777777777777778      .";"1      ."
"sensory perception of smell";"0.777777777777778      .";"1      ."
"spermatogenesis";"0.777777777777778      .";"1      ."
"striated muscle contraction";"0.777777777777778      .";"1      ."
"striated muscle myosin thick filament assembly";"0.777777777777778      .";"1      ."
"substrate-specific transmembrane transporter activity";"0.777777777777778      .";"1      ."
"thiol-dependent ubiquitinyl hydrolase activity";"0.777777777777778      .";"1      ."
"thrombin-activated receptor activity";"0.777777777777778      .";"1      ."
"thrombin-activated receptor signaling pathway";"0.777777777777778      .";"1      ."
"transferase activity, transferring phosphorus-containing groups";"0.777777777777778      .";"1      ."
"transporter activity";"0.777777777777778      .";"1      ."
"tricarboxylic acid cycle";"0.777777777777778      .";"1      ."
"tRNA binding";"0.777777777777778      .";"1      ."
"vacuolar transport";"0.777777777777778      .";"1      ."
"vesicle-mediated transport";"0.777777777777778      .";"1      ."
"zinc II ion transmembrane transport";"0.777777777777778      .";"1      ."
"zinc ion transmembrane transporter activity";"0.777777777777778      .";"1      ."
"actin cytoskeleton";"0.833333333333333      .";"1      ."
"acyl-CoA hydrolase activity";"0.833333333333333      .";"1      ."
"acyl-CoA metabolic process";"0.833333333333333      .";"1      ."
"apoptotic signaling pathway";"0.833333333333333      .";"1      ."
"bicarbonate transport";"0.833333333333333      .";"1      ."
"blood coagulation";"0.833333333333333      .";"1      ."
"catalytic activity";"0.833333333333333      .";"1      ."
"caveola";"0.833333333333333      .";"1      ."
"cellular amino acid biosynthetic process";"0.833333333333333      .";"1      ."
"cellular iron ion homeostasis";"0.833333333333333      .";"1      ."
"cellular lipid metabolic process";"0.833333333333333      .";"1      ."
"cellular_component";"0.833333333333333      .";"1      ."
"chloride transmembrane transport";"0.833333333333333      .";"1      ."
"cholesterol homeostasis";"0.833333333333333      .";"1      ."
"cholesterol metabolic process";"0.833333333333333      .";"1      ."
"connexin complex";"0.833333333333333      .";"1      ."
"cysteine-type endopeptidase activity involved in execution phase of apoptosis";"0.833333333333333      .";"1      ."
"cytochrome-c oxidase activity";"0.833333333333333      .";"1      ."
"cytokine receptor activity";"0.833333333333333      .";"1      ."
"cytoplasm";"0.833333333333333      .";"1      ."
"detection of chemical stimulus involved in sensory perception";"0.833333333333333      .";"1      ."
"detection of chemical stimulus involved in sensory perception of smell";"0.833333333333333      .";"1      ."
"digestive tract development";"0.833333333333333      .";"1      ."
"dorsal convergence";"0.833333333333333      .";"1      ."
"double-stranded RNA binding";"0.833333333333333      .";"1      ."
"drug transmembrane transport";"0.833333333333333      .";"1      ."
"electron carrier activity";"0.833333333333333      .";"1      ."
"enzyme activator activity";"0.833333333333333      .";"1      ."
"exocyst localization";"0.833333333333333      .";"1      ."
"formation of translation preinitiation complex";"0.833333333333333      .";"1      ."
"fucosylation";"0.833333333333333      .";"1      ."
"fucosyltransferase activity";"0.833333333333333      .";"1      ."
"G-protein coupled peptide receptor activity";"0.833333333333333      .";"1      ."
"gap junction";"0.833333333333333      .";"1      ."
"glucose transmembrane transport";"0.833333333333333      .";"1      ."
"hippo signaling";"0.833333333333333      .";"1      ."
"histone H3 deacetylation";"0.833333333333333      .";"1      ."
"immune system process";"0.833333333333333      .";"1      ."
"inorganic anion transport";"0.833333333333333      .";"1      ."
"integral component of mitochondrial outer membrane";"0.833333333333333      .";"1      ."
"intracellular protein transport";"0.833333333333333      .";"1      ."
"iron-sulfur cluster assembly";"0.833333333333333      .";"1      ."
"lipid catabolic process";"0.833333333333333      .";"1      ."
"lipid transport";"0.833333333333333      .";"1      ."
"mitochondrial electron transport, ubiquinol to cytochrome c";"0.833333333333333      .";"1      ."
"mitochondrial inner membrane";"0.833333333333333      .";"1      ."
"mitochondrion";"0.833333333333333      .";"1      ."
"mRNA 3'-UTR binding";"0.833333333333333      .";"1      ."
"NAD-dependent histone deacetylase activity (H3-K14 specific)";"0.833333333333333      .";"1      ."
"NAD+ ADP-ribosyltransferase activity";"0.833333333333333      .";"1      ."
"negative regulation of neuron apoptotic process";"0.833333333333333      .";"1      ."
"neuromast development";"0.833333333333333      .";"1      ."
"nuclear chromosome, telomeric region";"0.833333333333333      .";"1      ."
"nuclear envelope";"0.833333333333333      .";"1      ."
"nucleic acid phosphodiester bond hydrolysis";"0.833333333333333      .";"1      ."
"nucleotidyltransferase activity";"0.833333333333333      .";"1      ."
"olfactory receptor activity";"0.833333333333333      .";"1      ."
"one-carbon metabolic process";"0.833333333333333      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"0.833333333333333      .";"1      ."
"phosphatidylinositol dephosphorylation";"0.833333333333333      .";"1      ."
"phospholipid transport";"0.833333333333333      .";"1      ."
"pigmentation";"0.833333333333333      .";"1      ."
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process";"0.833333333333333      .";"1      ."
"positive regulation of proteasomal ubiquitin-dependent protein catabolic process";"0.833333333333333      .";"1      ."
"proteasome assembly";"0.833333333333333      .";"1      ."
"proteasome complex";"0.833333333333333      .";"1      ."
"proteasome core complex";"0.833333333333333      .";"1      ."
"proteasome core complex, alpha-subunit complex";"0.833333333333333      .";"1      ."
"proteasome regulatory particle, base subcomplex";"0.833333333333333      .";"1      ."
"protein homodimerization activity";"0.833333333333333      .";"1      ."
"protein K48-linked deubiquitination";"0.833333333333333      .";"1      ."
"protein N-linked glycosylation";"0.833333333333333      .";"1      ."
"protein O-linked mannosylation";"0.833333333333333      .";"1      ."
"proteolysis involved in cellular protein catabolic process";"0.833333333333333      .";"1      ."
"pyridoxal phosphate binding";"0.833333333333333      .";"1      ."
"receptor-mediated endocytosis";"0.833333333333333      .";"1      ."
"regulation of apoptotic process";"0.833333333333333      .";"1      ."
"regulation of inflammatory response";"0.833333333333333      .";"1      ."
"regulation of intracellular pH";"0.833333333333333      .";"1      ."
"response to copper ion";"0.833333333333333      .";"1      ."
"response to endoplasmic reticulum stress";"0.833333333333333      .";"1      ."
"response to oxidative stress";"0.833333333333333      .";"1      ."
"S-adenosylmethionine-dependent methyltransferase activity";"0.833333333333333      .";"1      ."
"sarcomere organization";"0.833333333333333      .";"1      ."
"scavenger receptor activity";"0.833333333333333      .";"1      ."
"steroid hydroxylase activity";"0.833333333333333      .";"1      ."
"sterol biosynthetic process";"0.833333333333333      .";"1      ."
"threonine-type endopeptidase activity";"0.833333333333333      .";"1      ."
"transmembrane transporter activity";"0.833333333333333      .";"1      ."
"tumor necrosis factor-activated receptor activity";"0.833333333333333      .";"1      ."
"tumor necrosis factor-mediated signaling pathway";"0.833333333333333      .";"1      ."
"ubiquitin binding";"0.833333333333333      .";"1      ."
"vacuole";"0.833333333333333      .";"1      ."
"actin monomer binding";"0.888888888888889      .";"1      ."
"aerobic respiration";"0.888888888888889      .";"1      ."
"ammonium transmembrane transport";"0.888888888888889      .";"1      ."
"apical plasma membrane";"0.888888888888889      .";"1      ."
"aspartic-type endopeptidase activity";"0.888888888888889      .";"1      ."
"ATPase activity, coupled to transmembrane movement of substances";"0.888888888888889      .";"1      ."
"carbohydrate metabolic process";"0.888888888888889      .";"1      ."
"cellular oxidant detoxification";"0.888888888888889      .";"1      ."
"cellular response to nitrogen starvation";"0.888888888888889      .";"1      ."
"cholesterol binding";"0.888888888888889      .";"1      ."
"chondrocyte differentiation";"0.888888888888889      .";"1      ."
"CTP biosynthetic process";"0.888888888888889      .";"1      ."
"cysteine-type endopeptidase activity";"0.888888888888889      .";"1      ."
"cysteine-type endopeptidase inhibitor activity";"0.888888888888889      .";"1      ."
"deaminase activity";"0.888888888888889      .";"1      ."
"digestive tract morphogenesis";"0.888888888888889      .";"1      ."
"dioxygenase activity";"0.888888888888889      .";"1      ."
"DNA damage checkpoint";"0.888888888888889      .";"1      ."
"double-strand break repair via homologous recombination";"0.888888888888889      .";"1      ."
"early endosome";"0.888888888888889      .";"1      ."
"endomembrane system";"0.888888888888889      .";"1      ."
"endopeptidase activity";"0.888888888888889      .";"1      ."
"ER to Golgi vesicle-mediated transport";"0.888888888888889      .";"1      ."
"eukaryotic 48S preinitiation complex";"0.888888888888889      .";"1      ."
"exocyst";"0.888888888888889      .";"1      ."
"fatty acid elongation, polyunsaturated fatty acid";"0.888888888888889      .";"1      ."
"FMN binding";"0.888888888888889      .";"1      ."
"glomerular filtration";"0.888888888888889      .";"1      ."
"glucuronosyltransferase activity";"0.888888888888889      .";"1      ."
"glutathione metabolic process";"0.888888888888889      .";"1      ."
"heart development";"0.888888888888889      .";"1      ."
"heart morphogenesis";"0.888888888888889      .";"1      ."
"hemopoiesis";"0.888888888888889      .";"1      ."
"integral component of peroxisomal membrane";"0.888888888888889      .";"1      ."
"iron ion binding";"0.888888888888889      .";"1      ."
"iron ion homeostasis";"0.888888888888889      .";"1      ."
"ligase activity";"0.888888888888889      .";"1      ."
"liver development";"0.888888888888889      .";"1      ."
"lysosomal membrane";"0.888888888888889      .";"1      ."
"mitochondrial large ribosomal subunit";"0.888888888888889      .";"1      ."
"molecular_function";"0.888888888888889      .";"1      ."
"monooxygenase activity";"0.888888888888889      .";"1      ."
"negative regulation of neurogenesis";"0.888888888888889      .";"1      ."
"nitrogen compound metabolic process";"0.888888888888889      .";"1      ."
"oxidation-reduction process";"0.888888888888889      .";"1      ."
"oxidoreductase activity";"0.888888888888889      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";"0.888888888888889      .";"1      ."
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"0.888888888888889      .";"1      ."
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"0.888888888888889      .";"1      ."
"pancreas regeneration";"0.888888888888889      .";"1      ."
"phosphatidylinositol binding";"0.888888888888889      .";"1      ."
"phospholipid-translocating ATPase activity";"0.888888888888889      .";"1      ."
"phospholipid translocation";"0.888888888888889      .";"1      ."
"positive regulation of apoptotic process";"0.888888888888889      .";"1      ."
"positive regulation of catalytic activity";"0.888888888888889      .";"1      ."
"positive regulation of cytosolic calcium ion concentration";"0.888888888888889      .";"1      ."
"positive regulation of ERK1 and ERK2 cascade";"0.888888888888889      .";"1      ."
"positive regulation of protein ubiquitination";"0.888888888888889      .";"1      ."
"positive regulation of signal transduction";"0.888888888888889      .";"1      ."
"protein transport";"0.888888888888889      .";"1      ."
"reciprocal meiotic recombination";"0.888888888888889      .";"1      ."
"regulation of actin cytoskeleton organization";"0.888888888888889      .";"1      ."
"regulation of cell adhesion";"0.888888888888889      .";"1      ."
"regulation of pH";"0.888888888888889      .";"1      ."
"regulation of vesicle fusion";"0.888888888888889      .";"1      ."
"response to ionizing radiation";"0.888888888888889      .";"1      ."
"Rho protein signal transduction";"0.888888888888889      .";"1      ."
"ribonuclease activity";"0.888888888888889      .";"1      ."
"RNA phosphodiester bond hydrolysis";"0.888888888888889      .";"1      ."
"RNA polymerase II transcription cofactor activity";"0.888888888888889      .";"1      ."
"solute:proton antiporter activity";"0.888888888888889      .";"1      ."
"steroid binding";"0.888888888888889      .";"1      ."
"steroid metabolic process";"0.888888888888889      .";"1      ."
"transaminase activity";"0.888888888888889      .";"1      ."
"tRNA methylation";"0.888888888888889      .";"1      ."
"tRNA processing";"0.888888888888889      .";"1      ."
"ubiquinone biosynthetic process";"0.888888888888889      .";"1      ."
"ubiquitin-dependent protein catabolic process";"0.888888888888889      .";"1      ."
"ubiquitin conjugating enzyme binding";"0.888888888888889      .";"1      ."
"vasoconstriction";"0.888888888888889      .";"1      ."
"4 iron, 4 sulfur cluster binding";"0.944444444444444      .";"1      ."
"acid phosphatase activity";"0.944444444444444      .";"1      ."
"activation of GTPase activity";"0.944444444444444      .";"1      ."
"acyl-CoA dehydrogenase activity";"0.944444444444444      .";"1      ."
"ammonium transmembrane transporter activity";"0.944444444444444      .";"1      ."
"antioxidant activity";"0.944444444444444      .";"1      ."
"antiporter activity";"0.944444444444444      .";"1      ."
"artery development";"0.944444444444444      .";"1      ."
"autophagy";"0.944444444444444      .";"1      ."
"biological_process";"0.944444444444444      .";"1      ."
"carboxypeptidase activity";"0.944444444444444      .";"1      ."
"cardiac muscle cell differentiation";"0.944444444444444      .";"1      ."
"cardiac muscle tissue development";"0.944444444444444      .";"1      ."
"cell";"0.944444444444444      .";"1      ."
"cell redox homeostasis";"0.944444444444444      .";"1      ."
"chloride channel activity";"0.944444444444444      .";"1      ."
"cysteine-type peptidase activity";"0.944444444444444      .";"1      ."
"DNA metabolic process";"0.944444444444444      .";"1      ."
"endonuclease activity";"0.944444444444444      .";"1      ."
"endosome organization";"0.944444444444444      .";"1      ."
"epiboly involved in gastrulation with mouth forming second";"0.944444444444444      .";"1      ."
"eukaryotic 43S preinitiation complex";"0.944444444444444      .";"1      ."
"fatty acid beta-oxidation";"0.944444444444444      .";"1      ."
"Golgi organization";"0.944444444444444      .";"1      ."
"hemoglobin biosynthetic process";"0.944444444444444      .";"1      ."
"hydrogen ion transmembrane transport";"0.944444444444444      .";"1      ."
"isoprenoid biosynthetic process";"0.944444444444444      .";"1      ."
"left/right pattern formation";"0.944444444444444      .";"1      ."
"lipid metabolic process";"0.944444444444444      .";"1      ."
"magnesium ion binding";"0.944444444444444      .";"1      ."
"metal ion binding";"0.944444444444444      .";"1      ."
