"gene set";"p-value";"fdr"
"cytosolic large ribosomal subunit";"0.555555555555555      .";"1      ."
"cytosolic small ribosomal subunit";"0.555555555555555      .";"1      ."
"defense response to Gram-positive bacterium";"0.555555555555555      .";"1      ."
"DNA duplex unwinding";"0.555555555555555      .";"1      ."
"endopeptidase inhibitor activity";"0.555555555555555      .";"1      ."
"fatty acid biosynthetic process";"0.555555555555555      .";"1      ."
"Golgi membrane";"0.555555555555555      .";"1      ."
"hematopoietic stem cell differentiation";"0.555555555555555      .";"1      ."
"heparan sulfate proteoglycan binding";"0.555555555555555      .";"1      ."
"inorganic anion transport";"0.555555555555555      .";"1      ."
"iron ion transport";"0.555555555555555      .";"1      ."
"ligand-dependent nuclear receptor transcription coactivator activity";"0.555555555555555      .";"1      ."
"MAP kinase activity";"0.555555555555555      .";"1      ."
"mitophagy";"0.555555555555555      .";"1      ."
"mitotic cytokinesis";"0.555555555555555      .";"1      ."
"motile cilium";"0.555555555555555      .";"1      ."
"mRNA binding";"0.555555555555555      .";"1      ."
"muscle structure development";"0.555555555555555      .";"1      ."
"N-acetyltransferase activity";"0.555555555555555      .";"1      ."
"NAD+ ADP-ribosyltransferase activity";"0.555555555555555      .";"1      ."
"negative regulation of endopeptidase activity";"0.555555555555555      .";"1      ."
"neural crest cell development";"0.555555555555555      .";"1      ."
"neuropeptide receptor activity";"0.555555555555555      .";"1      ."
"outer dynein arm assembly";"0.555555555555555      .";"1      ."
"phosphatase activity";"0.555555555555555      .";"1      ."
"phospholipid transport";"0.555555555555555      .";"1      ."
"positive regulation of ERK1 and ERK2 cascade";"0.555555555555555      .";"1      ."
"positive regulation of vasoconstriction";"0.555555555555555      .";"1      ."
"potassium ion binding";"0.555555555555555      .";"1      ."
"protein K63-linked deubiquitination";"0.555555555555555      .";"1      ."
"protein kinase C activity";"0.555555555555555      .";"1      ."
"receptor binding";"0.555555555555555      .";"1      ."
"receptor tyrosine kinase binding";"0.555555555555555      .";"1      ."
"regulation of actin cytoskeleton organization";"0.555555555555555      .";"1      ."
"regulation of autophagy";"0.555555555555555      .";"1      ."
"regulation of blood vessel diameter";"0.555555555555555      .";"1      ."
"regulation of cell adhesion";"0.555555555555555      .";"1      ."
"regulation of cell cycle";"0.555555555555555      .";"1      ."
"regulation of mitotic cell cycle";"0.555555555555555      .";"1      ."
"response to cadmium ion";"0.555555555555555      .";"1      ."
"response to methylmercury";"0.555555555555555      .";"1      ."
"retrograde vesicle-mediated transport, Golgi to ER";"0.555555555555555      .";"1      ."
"sarcolemma";"0.555555555555555      .";"1      ."
"spindle organization";"0.555555555555555      .";"1      ."
"spliceosomal complex";"0.555555555555555      .";"1      ."
"steroid binding";"0.555555555555555      .";"1      ."
"transmembrane transport";"0.555555555555555      .";"1      ."
"tumor necrosis factor-mediated signaling pathway";"0.555555555555555      .";"1      ."
"viral nucleocapsid";"0.555555555555555      .";"1      ."
"3'-5' exonuclease activity";"0.611111111111111      .";"1      ."
"actin filament binding";"0.611111111111111      .";"1      ."
"ATPase activity";"0.611111111111111      .";"1      ."
"autophagosome assembly";"0.611111111111111      .";"1      ."
"blood microparticle";"0.611111111111111      .";"1      ."
"cardiac muscle cell proliferation";"0.611111111111111      .";"1      ."
"cellular glucose homeostasis";"0.611111111111111      .";"1      ."
"cellular lipid metabolic process";"0.611111111111111      .";"1      ."
"cholesterol binding";"0.611111111111111      .";"1      ."
"cholesterol biosynthetic process";"0.611111111111111      .";"1      ."
"cholesterol efflux";"0.611111111111111      .";"1      ."
"cholesterol homeostasis";"0.611111111111111      .";"1      ."
"cholesterol metabolic process";"0.611111111111111      .";"1      ."
"clathrin adaptor complex";"0.611111111111111      .";"1      ."
"commitment complex";"0.611111111111111      .";"1      ."
"DNA integration";"0.611111111111111      .";"1      ."
"FAD binding";"0.611111111111111      .";"1      ."
"fibroblast growth factor receptor binding";"0.611111111111111      .";"1      ."
"gastrulation";"0.611111111111111      .";"1      ."
"glutathione peroxidase activity";"0.611111111111111      .";"1      ."
"inflammatory response";"0.611111111111111      .";"1      ."
"integrin complex";"0.611111111111111      .";"1      ."
"intracellular";"0.611111111111111      .";"1      ."
"intraciliary transport";"0.611111111111111      .";"1      ."
"iron ion binding";"0.611111111111111      .";"1      ."
"lipid catabolic process";"0.611111111111111      .";"1      ."
"lipid metabolic process";"0.611111111111111      .";"1      ."
"meiotic cell cycle";"0.611111111111111      .";"1      ."
"mesoderm development";"0.611111111111111      .";"1      ."
"mesoderm formation";"0.611111111111111      .";"1      ."
"mismatch repair";"0.611111111111111      .";"1      ."
"mitochondrial respiratory chain complex IV";"0.611111111111111      .";"1      ."
"mitotic sister chromatid segregation";"0.611111111111111      .";"1      ."
"muscle contraction";"0.611111111111111      .";"1      ."
"myosin complex";"0.611111111111111      .";"1      ."
"negative regulation of apoptotic process";"0.611111111111111      .";"1      ."
"negative regulation of insulin receptor signaling pathway";"0.611111111111111      .";"1      ."
"neuromast development";"0.611111111111111      .";"1      ."
"nuclear chromosome, telomeric region";"0.611111111111111      .";"1      ."
"optokinetic behavior";"0.611111111111111      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen";"0.611111111111111      .";"1      ."
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"0.611111111111111      .";"1      ."
"peptide catabolic process";"0.611111111111111      .";"1      ."
"platelet activation";"0.611111111111111      .";"1      ."
"positive regulation of apoptotic process";"0.611111111111111      .";"1      ."
"positive regulation of proteasomal ubiquitin-dependent protein catabolic process";"0.611111111111111      .";"1      ."
"positive regulation of signal transduction";"0.611111111111111      .";"1      ."
"pre-autophagosomal structure";"0.611111111111111      .";"1      ."
"protein binding, bridging";"0.611111111111111      .";"1      ."
"protein processing";"0.611111111111111      .";"1      ."
"regulation of pH";"0.611111111111111      .";"1      ."
"response to lipopolysaccharide";"0.611111111111111      .";"1      ."
"ribosomal large subunit assembly";"0.611111111111111      .";"1      ."
"RNA phosphodiester bond hydrolysis";"0.611111111111111      .";"1      ."
"serine-type carboxypeptidase activity";"0.611111111111111      .";"1      ."
"SH3/SH2 adaptor activity";"0.611111111111111      .";"1      ."
"skeletal muscle cell differentiation";"0.611111111111111      .";"1      ."
"SNARE complex";"0.611111111111111      .";"1      ."
"somite development";"0.611111111111111      .";"1      ."
"spliceosomal complex assembly";"0.611111111111111      .";"1      ."
"structural constituent of nuclear pore";"0.611111111111111      .";"1      ."
"tachykinin receptor signaling pathway";"0.611111111111111      .";"1      ."
"thigmotaxis";"0.611111111111111      .";"1      ."
"transaminase activity";"0.611111111111111      .";"1      ."
"translational elongation";"0.611111111111111      .";"1      ."
"actin binding";"0.666666666666667      .";"1      ."
"actin filament organization";"0.666666666666667      .";"1      ."
"adenylate cyclase activity";"0.666666666666667      .";"1      ."
"alpha-(1->3)-fucosyltransferase activity";"0.666666666666667      .";"1      ."
"apical plasma membrane";"0.666666666666667      .";"1      ."
"apoptotic process";"0.666666666666667      .";"1      ."
"aromatic amino acid family metabolic process";"0.666666666666667      .";"1      ."
"artery development";"0.666666666666667      .";"1      ."
"ATP binding";"0.666666666666667      .";"1      ."
"ATPase activity, coupled to transmembrane movement of substances";"0.666666666666667      .";"1      ."
"autophagosome";"0.666666666666667      .";"1      ."
"bicarbonate transmembrane transporter activity";"0.666666666666667      .";"1      ."
"cation channel activity";"0.666666666666667      .";"1      ."
"cell migration";"0.666666666666667      .";"1      ."
"cellular iron ion homeostasis";"0.666666666666667      .";"1      ."
"cellular response to xenobiotic stimulus";"0.666666666666667      .";"1      ."
"chemotaxis";"0.666666666666667      .";"1      ."
"cholesterol transporter activity";"0.666666666666667      .";"1      ."
"chylomicron";"0.666666666666667      .";"1      ."
"circadian regulation of gene expression";"0.666666666666667      .";"1      ."
"cytokine receptor activity";"0.666666666666667      .";"1      ."
"damaged DNA binding";"0.666666666666667      .";"1      ."
"dioxygenase activity";"0.666666666666667      .";"1      ."
"double-stranded DNA binding";"0.666666666666667      .";"1      ."
"dynein heavy chain binding";"0.666666666666667      .";"1      ."
"epiboly involved in gastrulation with mouth forming second";"0.666666666666667      .";"1      ."
"erythrocyte maturation";"0.666666666666667      .";"1      ."
"G-protein coupled acetylcholine receptor activity";"0.666666666666667      .";"1      ."
"G-protein coupled receptor binding";"0.666666666666667      .";"1      ."
"gene silencing by RNA";"0.666666666666667      .";"1      ."
"glutathione metabolic process";"0.666666666666667      .";"1      ."
"glutathione transferase activity";"0.666666666666667      .";"1      ."
"Golgi apparatus";"0.666666666666667      .";"1      ."
"high-density lipoprotein particle";"0.666666666666667      .";"1      ."
"histone deacetylation";"0.666666666666667      .";"1      ."
"hydrogen ion transmembrane transport";"0.666666666666667      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"0.666666666666667      .";"1      ."
"immune response";"0.666666666666667      .";"1      ."
"immune system process";"0.666666666666667      .";"1      ."
"inositol-1,4,5-trisphosphate 3-kinase activity";"0.666666666666667      .";"1      ."
"integrin-mediated signaling pathway";"0.666666666666667      .";"1      ."
"lipid binding";"0.666666666666667      .";"1      ."
"lipid biosynthetic process";"0.666666666666667      .";"1      ."
"lipid transport";"0.666666666666667      .";"1      ."
"lipoprotein metabolic process";"0.666666666666667      .";"1      ."
"melanocyte differentiation";"0.666666666666667      .";"1      ."
"membrane disruption in other organism";"0.666666666666667      .";"1      ."
"neutrophil chemotaxis";"0.666666666666667      .";"1      ."
"nuclear chromatin";"0.666666666666667      .";"1      ."
"nucleocytoplasmic transporter activity";"0.666666666666667      .";"1      ."
"organic anion transmembrane transporter activity";"0.666666666666667      .";"1      ."
"oxalate transmembrane transporter activity";"0.666666666666667      .";"1      ."
"oxalate transport";"0.666666666666667      .";"1      ."
"polysaccharide binding";"0.666666666666667      .";"1      ."
"positive regulation of NF-kappaB transcription factor activity";"0.666666666666667      .";"1      ."
"protease binding";"0.666666666666667      .";"1      ."
"proteasome-mediated ubiquitin-dependent protein catabolic process";"0.666666666666667      .";"1      ."
"protein ADP-ribosylation";"0.666666666666667      .";"1      ."
"protein import into mitochondrial matrix";"0.666666666666667      .";"1      ."
"Ran GTPase binding";"0.666666666666667      .";"1      ."
"reciprocal meiotic recombination";"0.666666666666667      .";"1      ."
"release of sequestered calcium ion into cytosol";"0.666666666666667      .";"1      ."
"response to toxic substance";"0.666666666666667      .";"1      ."
"RNA methylation";"0.666666666666667      .";"1      ."
"secondary active sulfate transmembrane transporter activity";"0.666666666666667      .";"1      ."
"skeletal muscle tissue development";"0.666666666666667      .";"1      ."
"structural constituent of ribosome";"0.666666666666667      .";"1      ."
"transcription elongation from RNA polymerase II promoter";"0.666666666666667      .";"1      ."
"transcription initiation from RNA polymerase II promoter";"0.666666666666667      .";"1      ."
"transferase activity";"0.666666666666667      .";"1      ."
"triglyceride catabolic process";"0.666666666666667      .";"1      ."
"U1 snRNP";"0.666666666666667      .";"1      ."
"acid phosphatase activity";"0.722222222222222      .";"1      ."
"actin filament";"0.722222222222222      .";"1      ."
"actin nucleation";"0.722222222222222      .";"1      ."
"adrenergic receptor activity";"0.722222222222222      .";"1      ."
"anion:anion antiporter activity";"0.722222222222222      .";"1      ."
"ATP-dependent microtubule motor activity, plus-end-directed";"0.722222222222222      .";"1      ."
"biosynthetic process";"0.722222222222222      .";"1      ."
"calcium-dependent cysteine-type endopeptidase activity";"0.722222222222222      .";"1      ."
"carboxylic acid metabolic process";"0.722222222222222      .";"1      ."
"cellular amino acid biosynthetic process";"0.722222222222222      .";"1      ."
"cellular response to hormone stimulus";"0.722222222222222      .";"1      ."
"chordate embryonic development";"0.722222222222222      .";"1      ."
"circadian rhythm";"0.722222222222222      .";"1      ."
"Cul3-RING ubiquitin ligase complex";"0.722222222222222      .";"1      ."
"cysteine-type endopeptidase inhibitor activity";"0.722222222222222      .";"1      ."
"cytochrome-c oxidase activity";"0.722222222222222      .";"1      ."
"deaminase activity";"0.722222222222222      .";"1      ."
"defense response to bacterium";"0.722222222222222      .";"1      ."
"determination of heart left/right asymmetry";"0.722222222222222      .";"1      ."
"DNA recombination";"0.722222222222222      .";"1      ."
"endonuclease activity";"0.722222222222222      .";"1      ."
"exocyst";"0.722222222222222      .";"1      ."
"feeding behavior";"0.722222222222222      .";"1      ."
"fructose metabolic process";"0.722222222222222      .";"1      ."
"fucosylation";"0.722222222222222      .";"1      ."
"fucosyltransferase activity";"0.722222222222222      .";"1      ."
"gluconeogenesis";"0.722222222222222      .";"1      ."
"glycogen biosynthetic process";"0.722222222222222      .";"1      ."
"glycolytic process";"0.722222222222222      .";"1      ."
"Golgi organization";"0.722222222222222      .";"1      ."
"hydrolase activity, acting on ester bonds";"0.722222222222222      .";"1      ."
"intracellular ribonucleoprotein complex";"0.722222222222222      .";"1      ."
"lipid transporter activity";"0.722222222222222      .";"1      ."
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"0.722222222222222      .";"1      ."
"mitochondrial electron transport, cytochrome c to oxygen";"0.722222222222222      .";"1      ."
"mitochondrial electron transport, ubiquinol to cytochrome c";"0.722222222222222      .";"1      ."
"monooxygenase activity";"0.722222222222222      .";"1      ."
"MyD88-dependent toll-like receptor signaling pathway";"0.722222222222222      .";"1      ."
"nuclear-transcribed mRNA catabolic process";"0.722222222222222      .";"1      ."
"nucleophagy";"0.722222222222222      .";"1      ."
"nucleoplasm";"0.722222222222222      .";"1      ."
"nucleotidyltransferase activity";"0.722222222222222      .";"1      ."
"organic anion transport";"0.722222222222222      .";"1      ."
"oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen";"0.722222222222222      .";"1      ."
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"0.722222222222222      .";"1      ."
"positive regulation of guanylate cyclase activity";"0.722222222222222      .";"1      ."
"positive regulation of I-kappaB kinase/NF-kappaB signaling";"0.722222222222222      .";"1      ."
"protein homodimerization activity";"0.722222222222222      .";"1      ."
"protein secretion";"0.722222222222222      .";"1      ."
"regulation of apoptotic process";"0.722222222222222      .";"1      ."
"regulatory region DNA binding";"0.722222222222222      .";"1      ."
"response to activity";"0.722222222222222      .";"1      ."
"response to copper ion";"0.722222222222222      .";"1      ."
"response to cytokine";"0.722222222222222      .";"1      ."
"response to virus";"0.722222222222222      .";"1      ."
"retinol metabolic process";"0.722222222222222      .";"1      ."
"Rho protein signal transduction";"0.722222222222222      .";"1      ."
"ribosome";"0.722222222222222      .";"1      ."
"secretory granule";"0.722222222222222      .";"1      ."
"signal transducer activity, downstream of receptor";"0.722222222222222      .";"1      ."
"single-stranded DNA binding";"0.722222222222222      .";"1      ."
"SNAP receptor activity";"0.722222222222222      .";"1      ."
"sugar:proton symporter activity";"0.722222222222222      .";"1      ."
"transferase activity, transferring phosphorus-containing groups";"0.722222222222222      .";"1      ."
"transporter activity";"0.722222222222222      .";"1      ."
"tumor necrosis factor receptor binding";"0.722222222222222      .";"1      ."
"ubiquitin conjugating enzyme binding";"0.722222222222222      .";"1      ."
"vacuolar proton-transporting V-type ATPase, V0 domain";"0.722222222222222      .";"1      ."
"activation of MAPK activity";"0.777777777777778      .";"1      ."
"aerobic respiration";"0.777777777777778      .";"1      ."
"antigen processing and presentation";"0.777777777777778      .";"1      ."
"antioxidant activity";"0.777777777777778      .";"1      ."
"ATP-dependent RNA helicase activity";"0.777777777777778      .";"1      ."
"autophagy";"0.777777777777778      .";"1      ."
"axon development";"0.777777777777778      .";"1      ."
"BLOC-1 complex";"0.777777777777778      .";"1      ."
"cAMP binding";"0.777777777777778      .";"1      ."
"cation binding";"0.777777777777778      .";"1      ."
"caveola";"0.777777777777778      .";"1      ."
"cell";"0.777777777777778      .";"1      ."
"cellular amino acid metabolic process";"0.777777777777778      .";"1      ."
"cellular response to DNA damage stimulus";"0.777777777777778      .";"1      ."
"chemokine receptor activity";"0.777777777777778      .";"1      ."
"chromosome segregation";"0.777777777777778      .";"1      ."
"coenzyme binding";"0.777777777777778      .";"1      ."
"CTP biosynthetic process";"0.777777777777778      .";"1      ."
"cullin family protein binding";"0.777777777777778      .";"1      ."
"cytoplasmic dynein complex";"0.777777777777778      .";"1      ."
"dendrite";"0.777777777777778      .";"1      ."
"DNA-directed DNA polymerase activity";"0.777777777777778      .";"1      ."
"DNA replication";"0.777777777777778      .";"1      ."
"DNA replication initiation";"0.777777777777778      .";"1      ."
"endoplasmic reticulum";"0.777777777777778      .";"1      ."
"endosome";"0.777777777777778      .";"1      ."
"exonuclease activity";"0.777777777777778      .";"1      ."
"extrinsic apoptotic signaling pathway in absence of ligand";"0.777777777777778      .";"1      ."
"fructose 6-phosphate metabolic process";"0.777777777777778      .";"1      ."
"G-protein coupled peptide receptor activity";"0.777777777777778      .";"1      ."
"helicase activity";"0.777777777777778      .";"1      ."
"histone H3 deacetylation";"0.777777777777778      .";"1      ."
"hormone-mediated signaling pathway";"0.777777777777778      .";"1      ."
"hydrolase activity, acting on glycosyl bonds";"0.777777777777778      .";"1      ."
"hydrolase activity, hydrolyzing O-glycosyl compounds";"0.777777777777778      .";"1      ."
"integral component of endoplasmic reticulum membrane";"0.777777777777778      .";"1      ."
"integral component of peroxisomal membrane";"0.777777777777778      .";"1      ."
"intrahepatic bile duct development";"0.777777777777778      .";"1      ."
"lysosome";"0.777777777777778      .";"1      ."
"magnesium ion binding";"0.777777777777778      .";"1      ."
"maturation of LSU-rRNA";"0.777777777777778      .";"1      ."
"mediator complex";"0.777777777777778      .";"1      ."
"metabolic process";"0.777777777777778      .";"1      ."
"metal ion transmembrane transporter activity";"0.777777777777778      .";"1      ."
"muscle cell development";"0.777777777777778      .";"1      ."
"NAD-dependent histone deacetylase activity (H3-K14 specific)";"0.777777777777778      .";"1      ."
"negative regulation of TOR signaling";"0.777777777777778      .";"1      ."
"nuclear localization sequence binding";"0.777777777777778      .";"1      ."
"nucleic acid phosphodiester bond hydrolysis";"0.777777777777778      .";"1      ."
"oxidoreductase activity, acting on the CH-CH group of donors";"0.777777777777778      .";"1      ."
"phosphatidylinositol binding";"0.777777777777778      .";"1      ."
"positive regulation of catalytic activity";"0.777777777777778      .";"1      ."
"positive regulation of cytosolic calcium ion concentration";"0.777777777777778      .";"1      ."
"protein N-linked glycosylation";"0.777777777777778      .";"1      ."
"proton-transporting V-type ATPase, V0 domain";"0.777777777777778      .";"1      ."
"pyridoxal phosphate binding";"0.777777777777778      .";"1      ."
"recycling endosome";"0.777777777777778      .";"1      ."
"regulation of blood pressure";"0.777777777777778      .";"1      ."
"response to heat";"0.777777777777778      .";"1      ."
"response to ionizing radiation";"0.777777777777778      .";"1      ."
"response to oxidative stress";"0.777777777777778      .";"1      ."
"ribosomal small subunit assembly";"0.777777777777778      .";"1      ."
"single-stranded RNA binding";"0.777777777777778      .";"1      ."
"snoRNA binding";"0.777777777777778      .";"1      ."
"sphingolipid metabolic process";"0.777777777777778      .";"1      ."
"steroid hydroxylase activity";"0.777777777777778      .";"1      ."
"trans-Golgi network";"0.777777777777778      .";"1      ."
"transcription from RNA polymerase III promoter";"0.777777777777778      .";"1      ."
"translation";"0.777777777777778      .";"1      ."
"U2 snRNP";"0.777777777777778      .";"1      ."
"ubiquinone biosynthetic process";"0.777777777777778      .";"1      ."
"vacuole";"0.777777777777778      .";"1      ."
"vasoconstriction";"0.777777777777778      .";"1      ."
"vesicle docking";"0.777777777777778      .";"1      ."
"water transmembrane transporter activity";"0.777777777777778      .";"1      ."
"water transport";"0.777777777777778      .";"1      ."
"2 iron, 2 sulfur cluster binding";"0.833333333333333      .";"1      ."
"4 iron, 4 sulfur cluster binding";"0.833333333333333      .";"1      ."
"activation of GTPase activity";"0.833333333333333      .";"1      ."
"acyl-CoA dehydrogenase activity";"0.833333333333333      .";"1      ."
"carbohydrate metabolic process";"0.833333333333333      .";"1      ."
"carbohydrate phosphorylation";"0.833333333333333      .";"1      ."
"carboxypeptidase activity";"0.833333333333333      .";"1      ."
"cardiac muscle contraction";"0.833333333333333      .";"1      ."
"catalytic step 2 spliceosome";"0.833333333333333      .";"1      ."
"cellular oxidant detoxification";"0.833333333333333      .";"1      ."
"cellular protein modification process";"0.833333333333333      .";"1      ."
"chaperone-mediated protein folding";"0.833333333333333      .";"1      ."
"cullin-RING ubiquitin ligase complex";"0.833333333333333      .";"1      ."
"cyclin-dependent protein serine/threonine kinase activity";"0.833333333333333      .";"1      ."
"cyclin binding";"0.833333333333333      .";"1      ."
"endoplasmic reticulum lumen";"0.833333333333333      .";"1      ."
"endoplasmic reticulum membrane";"0.833333333333333      .";"1      ."
"endosome membrane";"0.833333333333333      .";"1      ."
"epiboly";"0.833333333333333      .";"1      ."
"fatty acid beta-oxidation";"0.833333333333333      .";"1      ."
"G-protein coupled purinergic nucleotide receptor activity";"0.833333333333333      .";"1      ."
"G-protein coupled purinergic nucleotide receptor signaling pathway";"0.833333333333333      .";"1      ."
"galanin receptor activity";"0.833333333333333      .";"1      ."
"heart contraction";"0.833333333333333      .";"1      ."
"hemoglobin biosynthetic process";"0.833333333333333      .";"1      ."
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"0.833333333333333      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"0.833333333333333      .";"1      ."
"integral component of mitochondrial inner membrane";"0.833333333333333      .";"1      ."
"intrinsic apoptotic signaling pathway in response to DNA damage";"0.833333333333333      .";"1      ."
"iron-sulfur cluster binding";"0.833333333333333      .";"1      ."
"iron ion homeostasis";"0.833333333333333      .";"1      ."
"maturation of SSU-rRNA";"0.833333333333333      .";"1      ."
"membrane raft";"0.833333333333333      .";"1      ."
"metalloaminopeptidase activity";"0.833333333333333      .";"1      ."
"methylation";"0.833333333333333      .";"1      ."
"methyltransferase activity";"0.833333333333333      .";"1      ."
"mitochondrial membrane";"0.833333333333333      .";"1      ."
"NAD binding";"0.833333333333333      .";"1      ."
"NAD biosynthetic process";"0.833333333333333      .";"1      ."
"nitrogen compound metabolic process";"0.833333333333333      .";"1      ."
"nucleobase-containing compound metabolic process";"0.833333333333333      .";"1      ."
"nucleoside diphosphate kinase activity";"0.833333333333333      .";"1      ."
"nucleoside diphosphate phosphorylation";"0.833333333333333      .";"1      ."
"nucleoside metabolic process";"0.833333333333333      .";"1      ."
"oxidation-reduction process";"0.833333333333333      .";"1      ."
"oxidoreductase activity";"0.833333333333333      .";"1      ."
"peptidase activity";"0.833333333333333      .";"1      ."
"perinuclear region of cytoplasm";"0.833333333333333      .";"1      ."
"phosphatidylinositol 3-kinase complex";"0.833333333333333      .";"1      ."
"phospholipid biosynthetic process";"0.833333333333333      .";"1      ."
"phosphotransferase activity, alcohol group as acceptor";"0.833333333333333      .";"1      ."
"preribosome, large subunit precursor";"0.833333333333333      .";"1      ."
"protein sumoylation";"0.833333333333333      .";"1      ."
"protein tyrosine/serine/threonine phosphatase activity";"0.833333333333333      .";"1      ."
"protein ubiquitination";"0.833333333333333      .";"1      ."
"proteolysis";"0.833333333333333      .";"1      ."
"regulation of heart rate";"0.833333333333333      .";"1      ."
"regulation of muscle contraction";"0.833333333333333      .";"1      ."
"regulation of vesicle fusion";"0.833333333333333      .";"1      ."
"response to bacterium";"0.833333333333333      .";"1      ."
"response to yeast";"0.833333333333333      .";"1      ."
"retinal pigment epithelium development";"0.833333333333333      .";"1      ."
"RNA phosphodiester bond hydrolysis, endonucleolytic";"0.833333333333333      .";"1      ."
"rRNA binding";"0.833333333333333      .";"1      ."
"sensory perception of smell";"0.833333333333333      .";"1      ."
"skeletal muscle contraction";"0.833333333333333      .";"1      ."
"SNARE binding";"0.833333333333333      .";"1      ."
"sodium-independent organic anion transmembrane transporter activity";"0.833333333333333      .";"1      ."
"sodium-independent organic anion transport";"0.833333333333333      .";"1      ."
"structural constituent of eye lens";"0.833333333333333      .";"1      ."
"structural constituent of muscle";"0.833333333333333      .";"1      ."
"sulfate transmembrane transport";"0.833333333333333      .";"1      ."
"sulfate transmembrane transporter activity";"0.833333333333333      .";"1      ."
"sulfate transport";"0.833333333333333      .";"1      ."
"thiol-dependent ubiquitin-specific protease activity";"0.833333333333333      .";"1      ."
"transcription factor binding";"0.833333333333333      .";"1      ."
"U4/U6 x U5 tri-snRNP complex";"0.833333333333333      .";"1      ."
"ubiquitin protein ligase activity";"0.833333333333333      .";"1      ."
"ubiquitin protein ligase binding";"0.833333333333333      .";"1      ."
"urea transmembrane transport";"0.833333333333333      .";"1      ."
"urea transmembrane transporter activity";"0.833333333333333      .";"1      ."
"UTP biosynthetic process";"0.833333333333333      .";"1      ."
"vesicle";"0.833333333333333      .";"1      ."
"vesicle-mediated transport";"0.833333333333333      .";"1      ."
"vesicle docking involved in exocytosis";"0.833333333333333      .";"1      ."
"zinc II ion transmembrane transport";"0.833333333333333      .";"1      ."
"zinc II ion transport";"0.833333333333333      .";"1      ."
"zinc ion transmembrane transporter activity";"0.833333333333333      .";"1      ."
"1-phosphatidylinositol-3-kinase activity";"0.888888888888889      .";"1      ."
"actin filament polymerization";"0.888888888888889      .";"1      ."
"antiporter activity";"0.888888888888889      .";"1      ."
"ATP hydrolysis coupled proton transport";"0.888888888888889      .";"1      ."
"ATP metabolic process";"0.888888888888889      .";"1      ."
"ATP synthesis coupled proton transport";"0.888888888888889      .";"1      ."
"biological_process";"0.888888888888889      .";"1      ."
"cardiac muscle tissue development";"0.888888888888889      .";"1      ."
"catalytic activity";"0.888888888888889      .";"1      ."
"cell redox homeostasis";"0.888888888888889      .";"1      ."
"chromosome, telomeric region";"0.888888888888889      .";"1      ."
"connexin complex";"0.888888888888889      .";"1      ."
"Cul4-RING E3 ubiquitin ligase complex";"0.888888888888889      .";"1      ."
"cysteine-type peptidase activity";"0.888888888888889      .";"1      ."
"defense response to virus";"0.888888888888889      .";"1      ."
"developmental pigmentation";"0.888888888888889      .";"1      ."
"DNA-directed RNA polymerase II, core complex";"0.888888888888889      .";"1      ."
"DNA-directed RNA polymerase III complex";"0.888888888888889      .";"1      ."
"DNA metabolic process";"0.888888888888889      .";"1      ."
"DNA repair";"0.888888888888889      .";"1      ."
"double-strand break repair";"0.888888888888889      .";"1      ."
"endocytic recycling";"0.888888888888889      .";"1      ."
"enzyme regulator activity";"0.888888888888889      .";"1      ."
"ER membrane protein complex";"0.888888888888889      .";"1      ."
"eukaryotic 43S preinitiation complex";"0.888888888888889      .";"1      ."
"extrinsic component of membrane";"0.888888888888889      .";"1      ."
"fatty acid metabolic process";"0.888888888888889      .";"1      ."
"flavin adenine dinucleotide binding";"0.888888888888889      .";"1      ."
"focal adhesion";"0.888888888888889      .";"1      ."
"gap junction";"0.888888888888889      .";"1      ."
"glycogen metabolic process";"0.888888888888889      .";"1      ."
"hydrolase activity";"0.888888888888889      .";"1      ."
"intra-Golgi vesicle-mediated transport";"0.888888888888889      .";"1      ."
"lyase activity";"0.888888888888889      .";"1      ."
"lysosome organization";"0.888888888888889      .";"1      ."
"MAPK cascade";"0.888888888888889      .";"1      ."
"metal ion transport";"0.888888888888889      .";"1      ."
"mitochondrial outer membrane";"0.888888888888889      .";"1      ."
"mitochondrial respiratory chain complex I";"0.888888888888889      .";"1      ."
"mitochondrial translation";"0.888888888888889      .";"1      ."
"mRNA transport";"0.888888888888889      .";"1      ."
"myofibril assembly";"0.888888888888889      .";"1      ."
"non-membrane spanning protein tyrosine kinase activity";"0.888888888888889      .";"1      ."
"nuclear membrane";"0.888888888888889      .";"1      ."
"nucleotide biosynthetic process";"0.888888888888889      .";"1      ."
"nucleotide metabolic process";"0.888888888888889      .";"1      ."
"nucleotide phosphorylation";"0.888888888888889      .";"1      ."
"peptide cross-linking";"0.888888888888889      .";"1      ."
