"gene set";"p-value";"fdr"
"Rho guanyl-nucleotide exchange factor activity";"0.581699346405229      .";"1      ."
"RNA phosphodiester bond hydrolysis";"0.581699346405229      .";"1      ."
"small molecule binding";"0.581699346405229      .";"1      ."
"sterol biosynthetic process";"0.581699346405229      .";"1      ."
"structural constituent of eye lens";"0.581699346405229      .";"1      ."
"thiolester hydrolase activity";"0.581699346405229      .";"1      ."
"transcriptional repressor activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.581699346405229      .";"1      ."
"angiogenesis";"0.633986928104575      .";"1      ."
"ATPase activity";"0.633986928104575      .";"1      ."
"branching involved in blood vessel morphogenesis";"0.633986928104575      .";"1      ."
"calcium ion import";"0.633986928104575      .";"1      ."
"calcium ion transmembrane transport";"0.633986928104575      .";"1      ."
"carboxylic acid metabolic process";"0.633986928104575      .";"1      ."
"chloride transport";"0.633986928104575      .";"1      ."
"cilium movement";"0.633986928104575      .";"1      ."
"convergent extension involved in gastrulation";"0.633986928104575      .";"1      ."
"DNA replication initiation";"0.633986928104575      .";"1      ."
"G-protein coupled receptor activity";"0.633986928104575      .";"1      ."
"heme biosynthetic process";"0.633986928104575      .";"1      ."
"hormone activity";"0.633986928104575      .";"1      ."
"insulin receptor binding";"0.633986928104575      .";"1      ."
"locomotory behavior";"0.633986928104575      .";"1      ."
"mesoderm development";"0.633986928104575      .";"1      ."
"motile cilium";"0.633986928104575      .";"1      ."
"negative regulation of protein serine/threonine kinase activity";"0.633986928104575      .";"1      ."
"nuclear chromosome, telomeric region";"0.633986928104575      .";"1      ."
"nucleotidyltransferase activity";"0.633986928104575      .";"1      ."
"proteasome core complex, alpha-subunit complex";"0.633986928104575      .";"1      ."
"protein-cysteine S-palmitoyltransferase activity";"0.633986928104575      .";"1      ."
"protein binding involved in protein folding";"0.633986928104575      .";"1      ."
"protein processing";"0.633986928104575      .";"1      ."
"RNA binding";"0.633986928104575      .";"1      ."
"spliceosomal snRNP assembly";"0.633986928104575      .";"1      ."
"steroid hormone mediated signaling pathway";"0.633986928104575      .";"1      ."
"steroid hormone receptor activity";"0.633986928104575      .";"1      ."
"threonine-type endopeptidase activity";"0.633986928104575      .";"1      ."
"thrombocyte differentiation";"0.633986928104575      .";"1      ."
"transcription regulatory region sequence-specific DNA binding";"0.633986928104575      .";"1      ."
"U4/U6 x U5 tri-snRNP complex";"0.633986928104575      .";"1      ."
"ubiquitin protein ligase activity";"0.633986928104575      .";"1      ."
"vacuolar membrane";"0.633986928104575      .";"1      ."
"adenosine deaminase activity";"0.679738562091503      .";"1      ."
"anterior/posterior axis specification";"0.679738562091503      .";"1      ."
"calcium-transporting ATPase activity";"0.679738562091503      .";"1      ."
"calcium channel activity";"0.679738562091503      .";"1      ."
"central nervous system projection neuron axonogenesis";"0.679738562091503      .";"1      ."
"chaperonin-containing T-complex";"0.679738562091503      .";"1      ."
"cullin-RING ubiquitin ligase complex";"0.679738562091503      .";"1      ."
"determination of liver left/right asymmetry";"0.679738562091503      .";"1      ."
"determination of pancreatic left/right asymmetry";"0.679738562091503      .";"1      ."
"embryonic pattern specification";"0.679738562091503      .";"1      ."
"endopeptidase activity";"0.679738562091503      .";"1      ."
"fucosylation";"0.679738562091503      .";"1      ."
"fucosyltransferase activity";"0.679738562091503      .";"1      ."
"guanyl-nucleotide exchange factor activity";"0.679738562091503      .";"1      ."
"hemoglobin biosynthetic process";"0.679738562091503      .";"1      ."
"insulin-like growth factor binding";"0.679738562091503      .";"1      ."
"intrahepatic bile duct development";"0.679738562091503      .";"1      ."
"midbody";"0.679738562091503      .";"1      ."
"mitochondrial fission";"0.679738562091503      .";"1      ."
"muscle organ development";"0.679738562091503      .";"1      ."
"negative regulation of JAK-STAT cascade";"0.679738562091503      .";"1      ."
"negative regulation of protein kinase activity";"0.679738562091503      .";"1      ."
"neurotransmitter:sodium symporter activity";"0.679738562091503      .";"1      ."
"peptide metabolic process";"0.679738562091503      .";"1      ."
"phosphoprotein phosphatase activity";"0.679738562091503      .";"1      ."
"positive regulation of transcription from RNA polymerase II promoter";"0.679738562091503      .";"1      ."
"protein disulfide isomerase activity";"0.679738562091503      .";"1      ."
"protein kinase activity";"0.679738562091503      .";"1      ."
"protein serine/threonine kinase activity";"0.679738562091503      .";"1      ."
"regulation of signal transduction";"0.679738562091503      .";"1      ."
"RNA export from nucleus";"0.679738562091503      .";"1      ."
"RNA phosphodiester bond hydrolysis, exonucleolytic";"0.679738562091503      .";"1      ."
"RNA processing";"0.679738562091503      .";"1      ."
"sodium ion transport";"0.679738562091503      .";"1      ."
"synaptic vesicle fusion to presynaptic active zone membrane";"0.679738562091503      .";"1      ."
"transcription from RNA polymerase II promoter";"0.679738562091503      .";"1      ."
"transforming growth factor beta receptor signaling pathway";"0.679738562091503      .";"1      ."
"transmembrane receptor protein tyrosine kinase signaling pathway";"0.679738562091503      .";"1      ."
"transport";"0.679738562091503      .";"1      ."
"water transmembrane transporter activity";"0.679738562091503      .";"1      ."
"water transport";"0.679738562091503      .";"1      ."
"'de novo' protein folding";"0.725490196078431      .";"1      ."
"axon regeneration";"0.725490196078431      .";"1      ."
"bicellular tight junction assembly";"0.725490196078431      .";"1      ."
"blood vessel morphogenesis";"0.725490196078431      .";"1      ."
"bone mineralization";"0.725490196078431      .";"1      ."
"cell cycle arrest";"0.725490196078431      .";"1      ."
"cell proliferation";"0.725490196078431      .";"1      ."
"centrosome";"0.725490196078431      .";"1      ."
"cerebellum development";"0.725490196078431      .";"1      ."
"chromosome, telomeric region";"0.725490196078431      .";"1      ."
"determination of left/right symmetry";"0.725490196078431      .";"1      ."
"developmental process";"0.725490196078431      .";"1      ."
"DNA-dependent ATPase activity";"0.725490196078431      .";"1      ."
"DNA repair";"0.725490196078431      .";"1      ."
"DNA replication";"0.725490196078431      .";"1      ."
"dynamin family protein polymerization involved in mitochondrial fission";"0.725490196078431      .";"1      ."
"erythrocyte development";"0.725490196078431      .";"1      ."
"hematopoietic progenitor cell differentiation";"0.725490196078431      .";"1      ."
"heparin binding";"0.725490196078431      .";"1      ."
"histone binding";"0.725490196078431      .";"1      ."
"immunoglobulin production";"0.725490196078431      .";"1      ."
"inward rectifier potassium channel activity";"0.725490196078431      .";"1      ."
"lymph vessel development";"0.725490196078431      .";"1      ."
"meiotic cell cycle";"0.725490196078431      .";"1      ."
"membrane fusion";"0.725490196078431      .";"1      ."
"metallocarboxypeptidase activity";"0.725490196078431      .";"1      ."
"neuromuscular junction development";"0.725490196078431      .";"1      ."
"neuronal action potential";"0.725490196078431      .";"1      ."
"neuropeptide signaling pathway";"0.725490196078431      .";"1      ."
"nuclear membrane";"0.725490196078431      .";"1      ."
"otic vesicle development";"0.725490196078431      .";"1      ."
"otolith development";"0.725490196078431      .";"1      ."
"PDZ domain binding";"0.725490196078431      .";"1      ."
"photoreceptor activity";"0.725490196078431      .";"1      ."
"pronephros development";"0.725490196078431      .";"1      ."
"proteasome assembly";"0.725490196078431      .";"1      ."
"proteasome complex";"0.725490196078431      .";"1      ."
"protein-chromophore linkage";"0.725490196078431      .";"1      ."
"protein kinase inhibitor activity";"0.725490196078431      .";"1      ."
"Ran GTPase binding";"0.725490196078431      .";"1      ."
"regulation of mitotic cell cycle";"0.725490196078431      .";"1      ."
"RNA polymerase II core promoter proximal region sequence-specific DNA binding";"0.725490196078431      .";"1      ."
"RNA polymerase II transcription cofactor activity";"0.725490196078431      .";"1      ."
"sprouting angiogenesis";"0.725490196078431      .";"1      ."
"striated muscle cell development";"0.725490196078431      .";"1      ."
"thymus development";"0.725490196078431      .";"1      ."
"trace-amine receptor activity";"0.725490196078431      .";"1      ."
"transcription initiation from RNA polymerase II promoter";"0.725490196078431      .";"1      ."
"U2 snRNP";"0.725490196078431      .";"1      ."
"acetylcholine-gated channel complex";"0.764705882352941      .";"1      ."
"acetylcholine binding";"0.764705882352941      .";"1      ."
"activation of MAPKKK activity";"0.764705882352941      .";"1      ."
"amino acid transmembrane transport";"0.764705882352941      .";"1      ."
"amino acid transmembrane transporter activity";"0.764705882352941      .";"1      ."
"ATP-dependent chromatin remodeling";"0.764705882352941      .";"1      ."
"basolateral plasma membrane";"0.764705882352941      .";"1      ."
"calmodulin-dependent protein kinase activity";"0.764705882352941      .";"1      ."
"catalytic step 2 spliceosome";"0.764705882352941      .";"1      ."
"cation binding";"0.764705882352941      .";"1      ."
"cell fate specification";"0.764705882352941      .";"1      ."
"cell migration involved in gastrulation";"0.764705882352941      .";"1      ."
"cell morphogenesis";"0.764705882352941      .";"1      ."
"commitment complex";"0.764705882352941      .";"1      ."
"DNA biosynthetic process";"0.764705882352941      .";"1      ."
"DNA duplex unwinding";"0.764705882352941      .";"1      ."
"double-strand break repair";"0.764705882352941      .";"1      ."
"endodeoxyribonuclease activity";"0.764705882352941      .";"1      ."
"exocrine pancreas development";"0.764705882352941      .";"1      ."
"head development";"0.764705882352941      .";"1      ."
"high voltage-gated calcium channel activity";"0.764705882352941      .";"1      ."
"integral component of plasma membrane";"0.764705882352941      .";"1      ."
"microtubule associated complex";"0.764705882352941      .";"1      ."
"mRNA binding";"0.764705882352941      .";"1      ."
"negative regulation of angiogenesis";"0.764705882352941      .";"1      ."
"neuronal cell body";"0.764705882352941      .";"1      ."
"nucleoplasm";"0.764705882352941      .";"1      ."
"oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor";"0.764705882352941      .";"1      ."
"peptidyl-prolyl cis-trans isomerase activity";"0.764705882352941      .";"1      ."
"phosphatidate phosphatase activity";"0.764705882352941      .";"1      ."
"phosphatidylinositol-4,5-bisphosphate binding";"0.764705882352941      .";"1      ."
"phospholipase A2 activity";"0.764705882352941      .";"1      ."
"protein peptidyl-prolyl isomerization";"0.764705882352941      .";"1      ."
"regulation of canonical Wnt signaling pathway";"0.764705882352941      .";"1      ."
"regulation of protein kinase activity";"0.764705882352941      .";"1      ."
"response to endoplasmic reticulum stress";"0.764705882352941      .";"1      ."
"response to nicotine";"0.764705882352941      .";"1      ."
"response to stimulus";"0.764705882352941      .";"1      ."
"RNA polymerase II transcription factor binding";"0.764705882352941      .";"1      ."
"spindle organization";"0.764705882352941      .";"1      ."
"transcription factor activity, sequence-specific DNA binding";"0.764705882352941      .";"1      ."
"U2-type prespliceosome";"0.764705882352941      .";"1      ."
"animal organ morphogenesis";"0.803921568627451      .";"1      ."
"anion transmembrane transporter activity";"0.803921568627451      .";"1      ."
"anion transport";"0.803921568627451      .";"1      ."
"ATP-dependent DNA helicase activity";"0.803921568627451      .";"1      ."
"ATP-dependent microtubule motor activity, plus-end-directed";"0.803921568627451      .";"1      ."
"axon extension";"0.803921568627451      .";"1      ."
"blood vessel development";"0.803921568627451      .";"1      ."
"carboxylic ester hydrolase activity";"0.803921568627451      .";"1      ."
"cell-cell signaling";"0.803921568627451      .";"1      ."
"centriole";"0.803921568627451      .";"1      ."
"channel regulator activity";"0.803921568627451      .";"1      ."
"coenzyme binding";"0.803921568627451      .";"1      ."
"cytoskeleton organization";"0.803921568627451      .";"1      ."
"damaged DNA binding";"0.803921568627451      .";"1      ."
"detection of mechanical stimulus";"0.803921568627451      .";"1      ."
"DNA topological change";"0.803921568627451      .";"1      ."
"dopaminergic neuron differentiation";"0.803921568627451      .";"1      ."
"embryonic heart tube morphogenesis";"0.803921568627451      .";"1      ."
"embryonic hemopoiesis";"0.803921568627451      .";"1      ."
"embryonic viscerocranium morphogenesis";"0.803921568627451      .";"1      ."
"eye photoreceptor cell development";"0.803921568627451      .";"1      ."
"fatty acid elongation, polyunsaturated fatty acid";"0.803921568627451      .";"1      ."
"G1/S transition of mitotic cell cycle";"0.803921568627451      .";"1      ."
"galactosyltransferase activity";"0.803921568627451      .";"1      ."
"gene silencing by RNA";"0.803921568627451      .";"1      ."
"growth factor activity";"0.803921568627451      .";"1      ."
"histone H3 deacetylation";"0.803921568627451      .";"1      ."
"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides";"0.803921568627451      .";"1      ."
"inner ear morphogenesis";"0.803921568627451      .";"1      ."
"ion transport";"0.803921568627451      .";"1      ."
"kidney development";"0.803921568627451      .";"1      ."
"microtubule cytoskeleton";"0.803921568627451      .";"1      ."
"mismatch repair";"0.803921568627451      .";"1      ."
"motor neuron axon guidance";"0.803921568627451      .";"1      ."
"muscle fiber development";"0.803921568627451      .";"1      ."
"NAD-dependent histone deacetylase activity (H3-K14 specific)";"0.803921568627451      .";"1      ."
"neuropilin binding";"0.803921568627451      .";"1      ."
"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay";"0.803921568627451      .";"1      ."
"oligodendrocyte differentiation";"0.803921568627451      .";"1      ."
"peptidyl-proline hydroxylation";"0.803921568627451      .";"1      ."
"peptidyl-tyrosine phosphorylation";"0.803921568627451      .";"1      ."
"phosphate ion transmembrane transport";"0.803921568627451      .";"1      ."
"positive regulation of angiogenesis";"0.803921568627451      .";"1      ."
"positive regulation of gene expression";"0.803921568627451      .";"1      ."
"precatalytic spliceosome";"0.803921568627451      .";"1      ."
"proteasome regulatory particle, base subcomplex";"0.803921568627451      .";"1      ."
"regulation of AMPA receptor activity";"0.803921568627451      .";"1      ."
"regulation of catalytic activity";"0.803921568627451      .";"1      ."
"response to light stimulus";"0.803921568627451      .";"1      ."
"sodium:bicarbonate symporter activity";"0.803921568627451      .";"1      ."
"somite specification";"0.803921568627451      .";"1      ."
"spectrin binding";"0.803921568627451      .";"1      ."
"structural constituent of nuclear pore";"0.803921568627451      .";"1      ."
"swimming behavior";"0.803921568627451      .";"1      ."
"transcription cofactor activity";"0.803921568627451      .";"1      ."
"transcription elongation from RNA polymerase II promoter";"0.803921568627451      .";"1      ."
"transcription factor complex";"0.803921568627451      .";"1      ."
"ubiquitin protein ligase binding";"0.803921568627451      .";"1      ."
"vasculogenesis";"0.803921568627451      .";"1      ."
"voltage-gated calcium channel complex";"0.803921568627451      .";"1      ."
"acetylglucosaminyltransferase activity";"0.836601307189543      .";"1      ."
"adrenal gland development";"0.836601307189543      .";"1      ."
"ammonium transmembrane transport";"0.836601307189543      .";"1      ."
"artery morphogenesis";"0.836601307189543      .";"1      ."
"calcium-dependent phospholipid binding";"0.836601307189543      .";"1      ."
"cellular protein modification process";"0.836601307189543      .";"1      ."
"cellular response to DNA damage stimulus";"0.836601307189543      .";"1      ."
"chromatin remodeling";"0.836601307189543      .";"1      ."
"cytoskeleton-dependent intracellular transport";"0.836601307189543      .";"1      ."
"determination of ventral identity";"0.836601307189543      .";"1      ."
"DNA helicase activity";"0.836601307189543      .";"1      ."
"dopamine neurotransmitter receptor activity";"0.836601307189543      .";"1      ."
"dorsal/ventral pattern formation";"0.836601307189543      .";"1      ."
"embryonic camera-type eye development";"0.836601307189543      .";"1      ."
"embryonic pectoral fin morphogenesis";"0.836601307189543      .";"1      ."
"establishment of cell polarity";"0.836601307189543      .";"1      ."
"establishment of mitotic spindle orientation";"0.836601307189543      .";"1      ."
"establishment or maintenance of epithelial cell apical/basal polarity";"0.836601307189543      .";"1      ."
"exonuclease activity";"0.836601307189543      .";"1      ."
"fin regeneration";"0.836601307189543      .";"1      ."
"FK506 binding";"0.836601307189543      .";"1      ."
"floor plate formation";"0.836601307189543      .";"1      ."
"G-protein coupled photoreceptor activity";"0.836601307189543      .";"1      ."
"habenula development";"0.836601307189543      .";"1      ."
"heme binding";"0.836601307189543      .";"1      ."
"heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules";"0.836601307189543      .";"1      ."
"histone-lysine N-methyltransferase activity";"0.836601307189543      .";"1      ."
"insulin receptor signaling pathway";"0.836601307189543      .";"1      ."
"intracellular transport";"0.836601307189543      .";"1      ."
"miRNA mediated inhibition of translation";"0.836601307189543      .";"1      ."
"mRNA export from nucleus";"0.836601307189543      .";"1      ."
"mRNA splicing, via spliceosome";"0.836601307189543      .";"1      ."
"negative chemotaxis";"0.836601307189543      .";"1      ."
"negative regulation of cell proliferation";"0.836601307189543      .";"1      ."
"negative regulation of nucleic acid-templated transcription";"0.836601307189543      .";"1      ."
"neuron migration";"0.836601307189543      .";"1      ."
"neurotransmitter transport";"0.836601307189543      .";"1      ."
"photoreceptor outer segment";"0.836601307189543      .";"1      ."
"plasma membrane organization";"0.836601307189543      .";"1      ."
"positive regulation of BMP signaling pathway";"0.836601307189543      .";"1      ."
"positive regulation of canonical Wnt signaling pathway";"0.836601307189543      .";"1      ."
"positive regulation of cyclin-dependent protein serine/threonine kinase activity";"0.836601307189543      .";"1      ."
"positive regulation of neurogenesis";"0.836601307189543      .";"1      ."
"posterior lateral line neuromast primordium migration";"0.836601307189543      .";"1      ."
"protein K48-linked deubiquitination";"0.836601307189543      .";"1      ."
"protein serine/threonine phosphatase activity";"0.836601307189543      .";"1      ."
"protein tyrosine kinase activity";"0.836601307189543      .";"1      ."
"regulation of vascular endothelial growth factor receptor signaling pathway";"0.836601307189543      .";"1      ."
"response to ionizing radiation";"0.836601307189543      .";"1      ."
"RNA methyltransferase activity";"0.836601307189543      .";"1      ."
"sodium channel activity";"0.836601307189543      .";"1      ."
"somitogenesis";"0.836601307189543      .";"1      ."
"synaptic vesicle";"0.836601307189543      .";"1      ."
"ventricular system development";"0.836601307189543      .";"1      ."
"vesicle fusion";"0.836601307189543      .";"1      ."
"voltage-gated calcium channel activity";"0.836601307189543      .";"1      ."
"zinc ion binding";"0.836601307189543      .";"1      ."
"5'-nucleotidase activity";"0.869281045751634      .";"1      ."
"anchored component of membrane";"0.869281045751634      .";"1      ."
"base-excision repair";"0.869281045751634      .";"1      ."
"cell development";"0.869281045751634      .";"1      ."
"cell recognition";"0.869281045751634      .";"1      ."
"chromatin binding";"0.869281045751634      .";"1      ."
"chromatin organization";"0.869281045751634      .";"1      ."
"ciliary basal body";"0.869281045751634      .";"1      ."
"clathrin-coated pit";"0.869281045751634      .";"1      ."
"convergent extension";"0.869281045751634      .";"1      ."
"cytoskeletal protein binding";"0.869281045751634      .";"1      ."
"detection of visible light";"0.869281045751634      .";"1      ."
"DNA recombination";"0.869281045751634      .";"1      ."
"dynein heavy chain binding";"0.869281045751634      .";"1      ."
"endoplasmic reticulum unfolded protein response";"0.869281045751634      .";"1      ."
"G-protein coupled serotonin receptor signaling pathway";"0.869281045751634      .";"1      ."
"generation of neurons";"0.869281045751634      .";"1      ."
"glycolipid biosynthetic process";"0.869281045751634      .";"1      ."
"GTP-Rho binding";"0.869281045751634      .";"1      ."
"heparan sulfate proteoglycan binding";"0.869281045751634      .";"1      ."
"histone acetyltransferase activity";"0.869281045751634      .";"1      ."
"inner ear development";"0.869281045751634      .";"1      ."
"intermediate filament";"0.869281045751634      .";"1      ."
"ion transmembrane transport";"0.869281045751634      .";"1      ."
"Kupffer's vesicle development";"0.869281045751634      .";"1      ."
"metalloendopeptidase activity";"0.869281045751634      .";"1      ."
"mitotic spindle assembly";"0.869281045751634      .";"1      ."
"myelination";"0.869281045751634      .";"1      ."
"N-acetyltransferase activity";"0.869281045751634      .";"1      ."
"negative regulation of canonical Wnt signaling pathway";"0.869281045751634      .";"1      ."
"negative regulation of Notch signaling pathway";"0.869281045751634      .";"1      ."
"negative regulation of transcription, DNA-templated";"0.869281045751634      .";"1      ."
"neurogenesis";"0.869281045751634      .";"1      ."
"neuron projection morphogenesis";"0.869281045751634      .";"1      ."
"otolith morphogenesis";"0.869281045751634      .";"1      ."
"P-body";"0.869281045751634      .";"1      ."
"pancreas development";"0.869281045751634      .";"1      ."
"photoreceptor cell maintenance";"0.869281045751634      .";"1      ."
"phototransduction";"0.869281045751634      .";"1      ."
"positive regulation of cell migration";"0.869281045751634      .";"1      ."
"posterior lateral line development";"0.869281045751634      .";"1      ."
"posterior lateral line neuromast development";"0.869281045751634      .";"1      ."
"postsynapse";"0.869281045751634      .";"1      ."
"postsynaptic density";"0.869281045751634      .";"1      ."
"primitive hemopoiesis";"0.869281045751634      .";"1      ."
"protein domain specific binding";"0.869281045751634      .";"1      ."
"regulation of cytosolic calcium ion concentration";"0.869281045751634      .";"1      ."
"regulation of gene expression";"0.869281045751634      .";"1      ."
"regulation of MAPK cascade";"0.869281045751634      .";"1      ."
"regulation of neuron differentiation";"0.869281045751634      .";"1      ."
"regulation of RNA splicing";"0.869281045751634      .";"1      ."
"regulation of small GTPase mediated signal transduction";"0.869281045751634      .";"1      ."
"regulation of transcription from RNA polymerase II promoter";"0.869281045751634      .";"1      ."
"retrograde vesicle-mediated transport, Golgi to ER";"0.869281045751634      .";"1      ."
"RNA polymerase II transcriptional preinitiation complex assembly";"0.869281045751634      .";"1      ."
"RNA splicing";"0.869281045751634      .";"1      ."
"semicircular canal morphogenesis";"0.869281045751634      .";"1      ."
"sensory epithelium regeneration";"0.869281045751634      .";"1      ."
"single organismal cell-cell adhesion";"0.869281045751634      .";"1      ."
"smoothened signaling pathway";"0.869281045751634      .";"1      ."
"somite development";"0.869281045751634      .";"1      ."
"spliceosomal complex assembly";"0.869281045751634      .";"1      ."
"structural molecule activity";"0.869281045751634      .";"1      ."
"symporter activity";"0.869281045751634      .";"1      ."
"synaptic vesicle membrane";"0.869281045751634      .";"1      ."
"syntaxin binding";"0.869281045751634      .";"1      ."
"transition metal ion binding";"0.869281045751634      .";"1      ."
"transmembrane receptor protein tyrosine kinase activity";"0.869281045751634      .";"1      ."
"U12-type spliceosomal complex";"0.869281045751634      .";"1      ."
"vascular endothelial growth factor receptor signaling pathway";"0.869281045751634      .";"1      ."
"visual perception";"0.869281045751634      .";"1      ."
"voltage-gated sodium channel activity";"0.869281045751634      .";"1      ."
"3',5'-cyclic-nucleotide phosphodiesterase activity";"0.895424836601307      .";"1      ."
"acetylcholine-gated cation-selective channel activity";"0.895424836601307      .";"1      ."
"AMPA glutamate receptor complex";"0.895424836601307      .";"1      ."
"axoneme";"0.895424836601307      .";"1      ."
"axonogenesis";"0.895424836601307      .";"1      ."
"calcium ion binding";"0.895424836601307      .";"1      ."
"camera-type eye development";"0.895424836601307      .";"1      ."
"cell adhesion molecule binding";"0.895424836601307      .";"1      ."
"cell fate commitment";"0.895424836601307      .";"1      ."
"clathrin coat assembly";"0.895424836601307      .";"1      ."
"collagen trimer";"0.895424836601307      .";"1      ."
"covalent chromatin modification";"0.895424836601307      .";"1      ."
"cytoskeletal anchoring at nuclear membrane";"0.895424836601307      .";"1      ."
"double-stranded DNA binding";"0.895424836601307      .";"1      ."
"embryonic cranial skeleton morphogenesis";"0.895424836601307      .";"1      ."
"embryonic neurocranium morphogenesis";"0.895424836601307      .";"1      ."
"erythrocyte differentiation";"0.895424836601307      .";"1      ."
"fibroblast growth factor receptor binding";"0.895424836601307      .";"1      ."
"fin morphogenesis";"0.895424836601307      .";"1      ."
"forebrain development";"0.895424836601307      .";"1      ."
"glomerular visceral epithelial cell development";"0.895424836601307      .";"1      ."
"Golgi cisterna membrane";"0.895424836601307      .";"1      ."
"histone acetylation";"0.895424836601307      .";"1      ."
"histone lysine methylation";"0.895424836601307      .";"1      ."
"identical protein binding";"0.895424836601307      .";"1      ."
"intrinsic apoptotic signaling pathway by p53 class mediator";"0.895424836601307      .";"1      ."
"mesoderm formation";"0.895424836601307      .";"1      ."
"midbrain-hindbrain boundary development";"0.895424836601307      .";"1      ."
"midbrain development";"0.895424836601307      .";"1      ."
"modulation of synaptic transmission";"0.895424836601307      .";"1      ."
"mRNA processing";"0.895424836601307      .";"1      ."
"neural crest cell migration";"0.895424836601307      .";"1      ."
"nuclear envelope organization";"0.895424836601307      .";"1      ."
"nuclear speck";"0.895424836601307      .";"1      ."
"phosphatidylinositol 3-kinase binding";"0.895424836601307      .";"1      ."
"photoreceptor cell outer segment organization";"0.895424836601307      .";"1      ."
"positive regulation of pathway-restricted SMAD protein phosphorylation";"0.895424836601307      .";"1      ."
"post-anal tail morphogenesis";"0.895424836601307      .";"1      ."
"potassium ion transport";"0.895424836601307      .";"1      ."
"presynaptic membrane";"0.895424836601307      .";"1      ."
"primitive erythrocyte differentiation";"0.895424836601307      .";"1      ."
"protein binding";"0.895424836601307      .";"1      ."
"receptor activity";"0.895424836601307      .";"1      ."
"regulation of ion transmembrane transport";"0.895424836601307      .";"1      ."
"signal transduction by protein phosphorylation";"0.895424836601307      .";"1      ."
"SMAD protein signal transduction";"0.895424836601307      .";"1      ."
"spermatid development";"0.895424836601307      .";"1      ."
"spinal cord motor neuron differentiation";"0.895424836601307      .";"1      ."
"spliceosomal complex";"0.895424836601307      .";"1      ."
"stabilization of membrane potential";"0.895424836601307      .";"1      ."
"synaptic vesicle endocytosis";"0.895424836601307      .";"1      ."
"telomere maintenance";"0.895424836601307      .";"1      ."
"transcription corepressor activity";"0.895424836601307      .";"1      ."
"transcription factor activity, RNA polymerase II transcription factor recruiting";"0.895424836601307      .";"1      ."
"transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding";"0.895424836601307      .";"1      ."
"transforming growth factor beta receptor binding";"0.895424836601307      .";"1      ."
"vasculature development";"0.895424836601307      .";"1      ."
"voltage-gated ion channel activity";"0.895424836601307      .";"1      ."
"voltage-gated sodium channel complex";"0.895424836601307      .";"1      ."
"anterior/posterior pattern specification";"0.92156862745098      .";"1      ."
"basement membrane";"0.92156862745098      .";"1      ."
"BMP signaling pathway";"0.92156862745098      .";"1      ."
"cadherin binding";"0.92156862745098      .";"1      ."
"carboxy-lyase activity";"0.92156862745098      .";"1      ."
"cell growth";"0.92156862745098      .";"1      ."
"cell projection organization";"0.92156862745098      .";"1      ."
"chaperone-mediated protein folding";"0.92156862745098      .";"1      ."
"detection of chemical stimulus involved in sensory perception of smell";"0.92156862745098      .";"1      ."
"endocrine pancreas development";"0.92156862745098      .";"1      ."
"ephrin receptor activity";"0.92156862745098      .";"1      ."
"ephrin receptor binding";"0.92156862745098      .";"1      ."
"extracellular-glutamate-gated ion channel activity";"0.92156862745098      .";"1      ."
"extracellular matrix";"0.92156862745098      .";"1      ."
"histone acetyltransferase complex";"0.92156862745098      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds";"0.92156862745098      .";"1      ."
"intraciliary transport";"0.92156862745098      .";"1      ."
"ion channel activity";"0.92156862745098      .";"1      ."
"ionotropic glutamate receptor activity";"0.92156862745098      .";"1      ."
"ionotropic glutamate receptor signaling pathway";"0.92156862745098      .";"1      ."
"L-ascorbic acid binding";"0.92156862745098      .";"1      ."
"lipid phosphatase activity";"0.92156862745098      .";"1      ."
"negative regulation of cell differentiation";"0.92156862745098      .";"1      ."
"neuropeptide binding";"0.92156862745098      .";"1      ."
"notochord development";"0.92156862745098      .";"1      ."
"notochord morphogenesis";"0.92156862745098      .";"1      ."
"nuclear chromatin";"0.92156862745098      .";"1      ."
"nucleic acid binding";"0.92156862745098      .";"1      ."
"olfactory receptor activity";"0.92156862745098      .";"1      ."
"ossification";"0.92156862745098      .";"1      ."
"p53 binding";"0.92156862745098      .";"1      ."
"pectoral fin development";"0.92156862745098      .";"1      ."
"plasma membrane";"0.92156862745098      .";"1      ."
"positive regulation of DNA repair";"0.92156862745098      .";"1      ."
"potassium ion leak channel activity";"0.92156862745098      .";"1      ."
"presynapse";"0.92156862745098      .";"1      ."
"pronephric glomerulus morphogenesis";"0.92156862745098      .";"1      ."
"regulation of cell morphogenesis";"0.92156862745098      .";"1      ."
"regulation of membrane potential";"0.92156862745098      .";"1      ."
"regulation of postsynaptic membrane potential";"0.92156862745098      .";"1      ."
"retinal cone cell development";"0.92156862745098      .";"1      ."
"single-stranded DNA binding";"0.92156862745098      .";"1      ."
"transcription coactivator activity";"0.92156862745098      .";"1      ."
"transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding";"0.92156862745098      .";"1      ."
"transcriptional activator activity, RNA polymerase II core promoter proximal region sequence-specific binding";"0.92156862745098      .";"1      ."
