"gene set";"p-value";"fdr"
"inorganic anion transport";"0.611111111111111      .";"1      ."
"integral component of endoplasmic reticulum membrane";"0.611111111111111      .";"1      ."
"lipid binding";"0.611111111111111      .";"1      ."
"lipid biosynthetic process";"0.611111111111111      .";"1      ."
"lipid transport";"0.611111111111111      .";"1      ."
"lipoprotein metabolic process";"0.611111111111111      .";"1      ."
"lyase activity";"0.611111111111111      .";"1      ."
"maturation of LSU-rRNA";"0.611111111111111      .";"1      ."
"maturation of SSU-rRNA";"0.611111111111111      .";"1      ."
"maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)";"0.611111111111111      .";"1      ."
"metal ion transmembrane transporter activity";"0.611111111111111      .";"1      ."
"mitochondrial envelope";"0.611111111111111      .";"1      ."
"mitochondrial membrane";"0.611111111111111      .";"1      ."
"monooxygenase activity";"0.611111111111111      .";"1      ."
"NAD binding";"0.611111111111111      .";"1      ."
"NAD biosynthetic process";"0.611111111111111      .";"1      ."
"nuclear chromatin";"0.611111111111111      .";"1      ."
"one-carbon metabolic process";"0.611111111111111      .";"1      ."
"oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor";"0.611111111111111      .";"1      ."
"peroxidase activity";"0.611111111111111      .";"1      ."
"peroxisome";"0.611111111111111      .";"1      ."
"phosphatase activity";"0.611111111111111      .";"1      ."
"phospholipid metabolic process";"0.611111111111111      .";"1      ."
"positive regulation of cysteine-type endopeptidase activity involved in apoptotic process";"0.611111111111111      .";"1      ."
"positive regulation of cytosolic calcium ion concentration";"0.611111111111111      .";"1      ."
"positive regulation of I-kappaB kinase/NF-kappaB signaling";"0.611111111111111      .";"1      ."
"potassium ion binding";"0.611111111111111      .";"1      ."
"preribosome, large subunit precursor";"0.611111111111111      .";"1      ."
"protein complex scaffold";"0.611111111111111      .";"1      ."
"protein N-linked glycosylation";"0.611111111111111      .";"1      ."
"pseudouridine synthesis";"0.611111111111111      .";"1      ."
"receptor binding";"0.611111111111111      .";"1      ."
"regulation of actin filament polymerization";"0.611111111111111      .";"1      ."
"regulation of autophagy";"0.611111111111111      .";"1      ."
"regulation of cell differentiation";"0.611111111111111      .";"1      ."
"regulation of intracellular pH";"0.611111111111111      .";"1      ."
"regulation of mitotic cell cycle";"0.611111111111111      .";"1      ."
"regulation of translational initiation";"0.611111111111111      .";"1      ."
"response to toxic substance";"0.611111111111111      .";"1      ."
"sarcoplasmic reticulum";"0.611111111111111      .";"1      ."
"sodium channel regulator activity";"0.611111111111111      .";"1      ."
"steroid binding";"0.611111111111111      .";"1      ."
"sulfuric ester hydrolase activity";"0.611111111111111      .";"1      ."
"synaptic vesicle fusion to presynaptic active zone membrane";"0.611111111111111      .";"1      ."
"transferase activity, transferring acyl groups other than amino-acyl groups";"0.611111111111111      .";"1      ."
"transferase activity, transferring glycosyl groups";"0.611111111111111      .";"1      ."
"transporter activity";"0.611111111111111      .";"1      ."
"triglyceride catabolic process";"0.611111111111111      .";"1      ."
"tumor necrosis factor receptor binding";"0.611111111111111      .";"1      ."
"water transmembrane transporter activity";"0.611111111111111      .";"1      ."
"actin filament";"0.666666666666667      .";"1      ."
"acyl-CoA metabolic process";"0.666666666666667      .";"1      ."
"antiporter activity";"0.666666666666667      .";"1      ."
"apoptotic signaling pathway";"0.666666666666667      .";"1      ."
"Arp2/3 protein complex";"0.666666666666667      .";"1      ."
"blood microparticle";"0.666666666666667      .";"1      ."
"caveola";"0.666666666666667      .";"1      ."
"CCR chemokine receptor binding";"0.666666666666667      .";"1      ."
"cellular response to interferon-gamma";"0.666666666666667      .";"1      ."
"cellular response to tumor necrosis factor";"0.666666666666667      .";"1      ."
"channel regulator activity";"0.666666666666667      .";"1      ."
"cholesterol binding";"0.666666666666667      .";"1      ."
"cholesterol efflux";"0.666666666666667      .";"1      ."
"clathrin adaptor complex";"0.666666666666667      .";"1      ."
"cysteine-type endopeptidase activity involved in execution phase of apoptosis";"0.666666666666667      .";"1      ."
"DNA metabolic process";"0.666666666666667      .";"1      ."
"dynein complex";"0.666666666666667      .";"1      ."
"endoplasmic reticulum membrane";"0.666666666666667      .";"1      ."
"fatty acid biosynthetic process";"0.666666666666667      .";"1      ."
"formation of translation preinitiation complex";"0.666666666666667      .";"1      ."
"fucosylation";"0.666666666666667      .";"1      ."
"fucosyltransferase activity";"0.666666666666667      .";"1      ."
"gluconeogenesis";"0.666666666666667      .";"1      ."
"GTPase activator activity";"0.666666666666667      .";"1      ."
"GTPase regulator activity";"0.666666666666667      .";"1      ."
"intracellular ribonucleoprotein complex";"0.666666666666667      .";"1      ."
"ion channel binding";"0.666666666666667      .";"1      ."
"lymphocyte chemotaxis";"0.666666666666667      .";"1      ."
"magnesium ion binding";"0.666666666666667      .";"1      ."
"metalloaminopeptidase activity";"0.666666666666667      .";"1      ."
"monocyte chemotaxis";"0.666666666666667      .";"1      ."
"multicellular organismal response to stress";"0.666666666666667      .";"1      ."
"myofibril assembly";"0.666666666666667      .";"1      ."
"myosin complex";"0.666666666666667      .";"1      ."
"negative regulation of JAK-STAT cascade";"0.666666666666667      .";"1      ."
"negative regulation of protein kinase activity";"0.666666666666667      .";"1      ."
"negative regulation of TOR signaling";"0.666666666666667      .";"1      ."
"oligodendrocyte development";"0.666666666666667      .";"1      ."
"P granule";"0.666666666666667      .";"1      ."
"perinuclear region of cytoplasm";"0.666666666666667      .";"1      ."
"phagocytosis";"0.666666666666667      .";"1      ."
"phospholipase activity";"0.666666666666667      .";"1      ."
"phospholipid biosynthetic process";"0.666666666666667      .";"1      ."
"positive regulation of ERK1 and ERK2 cascade";"0.666666666666667      .";"1      ."
"positive regulation of protein ubiquitination";"0.666666666666667      .";"1      ."
"proteasome core complex, alpha-subunit complex";"0.666666666666667      .";"1      ."
"protein homodimerization activity";"0.666666666666667      .";"1      ."
"proteolysis";"0.666666666666667      .";"1      ."
"pseudouridine synthase activity";"0.666666666666667      .";"1      ."
"pyridoxal phosphate binding";"0.666666666666667      .";"1      ."
"Rac GTPase binding";"0.666666666666667      .";"1      ."
"regulation of actin cytoskeleton organization";"0.666666666666667      .";"1      ."
"regulation of AMPA receptor activity";"0.666666666666667      .";"1      ."
"regulation of blood pressure";"0.666666666666667      .";"1      ."
"regulation of cell proliferation";"0.666666666666667      .";"1      ."
"response to stress";"0.666666666666667      .";"1      ."
"response to zinc ion";"0.666666666666667      .";"1      ."
"retinal pigment epithelium development";"0.666666666666667      .";"1      ."
"RNA modification";"0.666666666666667      .";"1      ."
"RNA polymerase II transcription cofactor activity";"0.666666666666667      .";"1      ."
"rRNA binding";"0.666666666666667      .";"1      ."
"small ribosomal subunit";"0.666666666666667      .";"1      ."
"steroid hormone mediated signaling pathway";"0.666666666666667      .";"1      ."
"steroid hormone receptor activity";"0.666666666666667      .";"1      ."
"steroid hydroxylase activity";"0.666666666666667      .";"1      ."
"tissue regeneration";"0.666666666666667      .";"1      ."
"transcription factor binding";"0.666666666666667      .";"1      ."
"transferase activity, transferring phosphorus-containing groups";"0.666666666666667      .";"1      ."
"translational elongation";"0.666666666666667      .";"1      ."
"tricarboxylic acid cycle";"0.666666666666667      .";"1      ."
"tRNA modification";"0.666666666666667      .";"1      ."
"UTP biosynthetic process";"0.666666666666667      .";"1      ."
"vacuolar transport";"0.666666666666667      .";"1      ."
"very long-chain fatty acid biosynthetic process";"0.666666666666667      .";"1      ."
"water transport";"0.666666666666667      .";"1      ."
"actin cytoskeleton reorganization";"0.722222222222222      .";"1      ."
"actin filament polymerization";"0.722222222222222      .";"1      ."
"activation of MAPKKK activity";"0.722222222222222      .";"1      ."
"acyl-CoA hydrolase activity";"0.722222222222222      .";"1      ."
"aminopeptidase activity";"0.722222222222222      .";"1      ."
"ammonium transmembrane transporter activity";"0.722222222222222      .";"1      ."
"anaphase-promoting complex";"0.722222222222222      .";"1      ."
"B cell receptor signaling pathway";"0.722222222222222      .";"1      ."
"carbohydrate transport";"0.722222222222222      .";"1      ."
"carboxypeptidase activity";"0.722222222222222      .";"1      ."
"cardiac muscle tissue development";"0.722222222222222      .";"1      ."
"catalytic activity";"0.722222222222222      .";"1      ."
"cell";"0.722222222222222      .";"1      ."
"cell surface";"0.722222222222222      .";"1      ."
"cellular calcium ion homeostasis";"0.722222222222222      .";"1      ."
"cellular metabolic process";"0.722222222222222      .";"1      ."
"cellular oxidant detoxification";"0.722222222222222      .";"1      ."
"cellular protein modification process";"0.722222222222222      .";"1      ."
"chloride channel activity";"0.722222222222222      .";"1      ."
"chloride transmembrane transport";"0.722222222222222      .";"1      ."
"cholesterol biosynthetic process";"0.722222222222222      .";"1      ."
"cholesterol homeostasis";"0.722222222222222      .";"1      ."
"cytokine receptor activity";"0.722222222222222      .";"1      ."
"cytoplasmic vesicle";"0.722222222222222      .";"1      ."
"cytosol";"0.722222222222222      .";"1      ."
"dendrite";"0.722222222222222      .";"1      ."
"developmental process";"0.722222222222222      .";"1      ."
"diacylglycerol kinase activity";"0.722222222222222      .";"1      ."
"dynein light chain binding";"0.722222222222222      .";"1      ."
"early endosome";"0.722222222222222      .";"1      ."
"ER membrane protein complex";"0.722222222222222      .";"1      ."
"eukaryotic 43S preinitiation complex";"0.722222222222222      .";"1      ."
"exocytosis";"0.722222222222222      .";"1      ."
"extrinsic component of membrane";"0.722222222222222      .";"1      ."
"FAD binding";"0.722222222222222      .";"1      ."
"fatty acid metabolic process";"0.722222222222222      .";"1      ."
"G-protein coupled purinergic nucleotide receptor activity";"0.722222222222222      .";"1      ."
"G-protein coupled purinergic nucleotide receptor signaling pathway";"0.722222222222222      .";"1      ."
"glucose transmembrane transport";"0.722222222222222      .";"1      ."
"glutathione metabolic process";"0.722222222222222      .";"1      ."
"glutathione peroxidase activity";"0.722222222222222      .";"1      ."
"GPI anchor biosynthetic process";"0.722222222222222      .";"1      ."
"hormone-mediated signaling pathway";"0.722222222222222      .";"1      ."
"immune response";"0.722222222222222      .";"1      ."
"immunoglobulin production";"0.722222222222222      .";"1      ."
"intracellular receptor signaling pathway";"0.722222222222222      .";"1      ."
"iron ion homeostasis";"0.722222222222222      .";"1      ."
"lipid metabolic process";"0.722222222222222      .";"1      ."
"melanocyte differentiation";"0.722222222222222      .";"1      ."
"membrane raft";"0.722222222222222      .";"1      ."
"metabolic process";"0.722222222222222      .";"1      ."
"metal ion transport";"0.722222222222222      .";"1      ."
"mitochondrial respiratory chain complex I";"0.722222222222222      .";"1      ."
"muscle cell development";"0.722222222222222      .";"1      ."
"NADH dehydrogenase (ubiquinone) activity";"0.722222222222222      .";"1      ."
"NADP binding";"0.722222222222222      .";"1      ."
"negative regulation of cell migration";"0.722222222222222      .";"1      ."
"negative regulation of protein serine/threonine kinase activity";"0.722222222222222      .";"1      ."
"neuron projection morphogenesis";"0.722222222222222      .";"1      ."
"neuropeptide receptor activity";"0.722222222222222      .";"1      ."
"nitrogen compound metabolic process";"0.722222222222222      .";"1      ."
"nucleoside diphosphate kinase activity";"0.722222222222222      .";"1      ."
"nucleoside diphosphate phosphorylation";"0.722222222222222      .";"1      ."
"oxidation-reduction process";"0.722222222222222      .";"1      ."
"oxidoreductase activity";"0.722222222222222      .";"1      ."
"oxidoreductase activity, acting on the CH-CH group of donors";"0.722222222222222      .";"1      ."
"peptidase activity";"0.722222222222222      .";"1      ."
"phosphatidylinositol binding";"0.722222222222222      .";"1      ."
"phosphatidylinositol dephosphorylation";"0.722222222222222      .";"1      ."
"phospholipid transport";"0.722222222222222      .";"1      ."
"positive regulation of cytosolic calcium ion concentration involved in phospholipase C-activating G-protein coupled signaling pathway";"0.722222222222222      .";"1      ."
"positive regulation of Rho protein signal transduction";"0.722222222222222      .";"1      ."
"pre-autophagosomal structure";"0.722222222222222      .";"1      ."
"proteasome core complex";"0.722222222222222      .";"1      ."
"proteasome regulatory particle, base subcomplex";"0.722222222222222      .";"1      ."
"protein binding involved in protein folding";"0.722222222222222      .";"1      ."
"protein kinase C-activating G-protein coupled receptor signaling pathway";"0.722222222222222      .";"1      ."
"protein polyubiquitination";"0.722222222222222      .";"1      ."
"protein transport";"0.722222222222222      .";"1      ."
"protein ubiquitination involved in ubiquitin-dependent protein catabolic process";"0.722222222222222      .";"1      ."
"regulation of endocytosis";"0.722222222222222      .";"1      ."
"regulation of GTPase activity";"0.722222222222222      .";"1      ."
"regulation of heart contraction";"0.722222222222222      .";"1      ."
"respiratory chain";"0.722222222222222      .";"1      ."
"response to bacterium";"0.722222222222222      .";"1      ."
"response to oxidative stress";"0.722222222222222      .";"1      ."
"ribosomal large subunit assembly";"0.722222222222222      .";"1      ."
"RNA polymerase II transcription factor activity, ligand-activated sequence-specific DNA binding";"0.722222222222222      .";"1      ."
"small GTPase mediated signal transduction";"0.722222222222222      .";"1      ."
"sodium-independent organic anion transmembrane transporter activity";"0.722222222222222      .";"1      ."
"sodium-independent organic anion transport";"0.722222222222222      .";"1      ."
"sterol biosynthetic process";"0.722222222222222      .";"1      ."
"structural constituent of muscle";"0.722222222222222      .";"1      ."
"TBP-class protein binding";"0.722222222222222      .";"1      ."
"threonine-type endopeptidase activity";"0.722222222222222      .";"1      ."
"translation initiation factor activity";"0.722222222222222      .";"1      ."
"transport";"0.722222222222222      .";"1      ."
"tRNA aminoacylation";"0.722222222222222      .";"1      ."
"tumor necrosis factor-mediated signaling pathway";"0.722222222222222      .";"1      ."
"vasoconstriction";"0.722222222222222      .";"1      ."
"2 iron, 2 sulfur cluster binding";"0.777777777777778      .";"1      ."
"4 iron, 4 sulfur cluster binding";"0.777777777777778      .";"1      ."
"acid phosphatase activity";"0.777777777777778      .";"1      ."
"actin nucleation";"0.777777777777778      .";"1      ."
"amyloid-beta binding";"0.777777777777778      .";"1      ."
"anion:anion antiporter activity";"0.777777777777778      .";"1      ."
"Arp2/3 complex-mediated actin nucleation";"0.777777777777778      .";"1      ."
"artery development";"0.777777777777778      .";"1      ."
"ATP-dependent microtubule motor activity, plus-end-directed";"0.777777777777778      .";"1      ."
"bicarbonate transmembrane transporter activity";"0.777777777777778      .";"1      ."
"biosynthetic process";"0.777777777777778      .";"1      ."
"camera-type eye morphogenesis";"0.777777777777778      .";"1      ."
"carbohydrate metabolic process";"0.777777777777778      .";"1      ."
"cation channel activity";"0.777777777777778      .";"1      ."
"cell redox homeostasis";"0.777777777777778      .";"1      ."
"cellular response to nitrogen starvation";"0.777777777777778      .";"1      ."
"cellular response to oxidative stress";"0.777777777777778      .";"1      ."
"cellular_component";"0.777777777777778      .";"1      ."
"chaperonin-containing T-complex";"0.777777777777778      .";"1      ."
"chemokine-mediated signaling pathway";"0.777777777777778      .";"1      ."
"chemotaxis";"0.777777777777778      .";"1      ."
"Cul4-RING E3 ubiquitin ligase complex";"0.777777777777778      .";"1      ."
"cytochrome-c oxidase activity";"0.777777777777778      .";"1      ."
"cytoplasm";"0.777777777777778      .";"1      ."
"cytosolic large ribosomal subunit";"0.777777777777778      .";"1      ."
"deaminase activity";"0.777777777777778      .";"1      ."
"drug transmembrane transport";"0.777777777777778      .";"1      ."
"dynein intermediate chain binding";"0.777777777777778      .";"1      ."
"electron carrier activity";"0.777777777777778      .";"1      ."
"endocytic recycling";"0.777777777777778      .";"1      ."
"endopeptidase activity";"0.777777777777778      .";"1      ."
"endosome organization";"0.777777777777778      .";"1      ."
"enzyme activator activity";"0.777777777777778      .";"1      ."
"ER to Golgi vesicle-mediated transport";"0.777777777777778      .";"1      ."
"ferric iron binding";"0.777777777777778      .";"1      ."
"flavin adenine dinucleotide binding";"0.777777777777778      .";"1      ."
"glycogen biosynthetic process";"0.777777777777778      .";"1      ."
"glycolytic process";"0.777777777777778      .";"1      ."
"hydrogen ion transmembrane transport";"0.777777777777778      .";"1      ."
"hydrogen ion transmembrane transporter activity";"0.777777777777778      .";"1      ."
"hydrolase activity";"0.777777777777778      .";"1      ."
"immune system process";"0.777777777777778      .";"1      ."
"inflammatory response";"0.777777777777778      .";"1      ."
"innate immune response";"0.777777777777778      .";"1      ."
"integral component of mitochondrial inner membrane";"0.777777777777778      .";"1      ."
"intrinsic apoptotic signaling pathway in response to DNA damage";"0.777777777777778      .";"1      ."
"iron-sulfur cluster binding";"0.777777777777778      .";"1      ."
"iron ion transport";"0.777777777777778      .";"1      ."
"late endosome membrane";"0.777777777777778      .";"1      ."
"ligase activity";"0.777777777777778      .";"1      ."
"lipid catabolic process";"0.777777777777778      .";"1      ."
"macrophage differentiation";"0.777777777777778      .";"1      ."
"MAP kinase tyrosine/serine/threonine phosphatase activity";"0.777777777777778      .";"1      ."
"membrane coat";"0.777777777777778      .";"1      ."
"mitochondrial electron transport, NADH to ubiquinone";"0.777777777777778      .";"1      ."
"mitochondrial electron transport, ubiquinol to cytochrome c";"0.777777777777778      .";"1      ."
"mitochondrial inner membrane";"0.777777777777778      .";"1      ."
"mitochondrion";"0.777777777777778      .";"1      ."
"NAD+ binding";"0.777777777777778      .";"1      ."
"neutrophil chemotaxis";"0.777777777777778      .";"1      ."
"nucleobase-containing compound metabolic process";"0.777777777777778      .";"1      ."
"nucleoside metabolic process";"0.777777777777778      .";"1      ."
"nucleotide biosynthetic process";"0.777777777777778      .";"1      ."
"nucleotide phosphorylation";"0.777777777777778      .";"1      ."
"oxidoreductase activity, acting on NAD(P)H";"0.777777777777778      .";"1      ."
"phosphotransferase activity, alcohol group as acceptor";"0.777777777777778      .";"1      ."
"positive regulation of apoptotic process";"0.777777777777778      .";"1      ."
"protease binding";"0.777777777777778      .";"1      ."
"proteasome complex";"0.777777777777778      .";"1      ."
"protein disulfide oxidoreductase activity";"0.777777777777778      .";"1      ."
"protein methylation";"0.777777777777778      .";"1      ."
"protein phosphatase regulator activity";"0.777777777777778      .";"1      ."
"protein transporter activity";"0.777777777777778      .";"1      ."
"purine nucleotide biosynthetic process";"0.777777777777778      .";"1      ."
"regulation of apoptotic process";"0.777777777777778      .";"1      ."
"regulation of blood vessel diameter";"0.777777777777778      .";"1      ."
"regulation of cell shape";"0.777777777777778      .";"1      ."
"regulation of mitotic nuclear division";"0.777777777777778      .";"1      ."
"response to activity";"0.777777777777778      .";"1      ."
"response to mechanical stimulus";"0.777777777777778      .";"1      ."
"ribonuclease activity";"0.777777777777778      .";"1      ."
"ribosome";"0.777777777777778      .";"1      ."
"RNA phosphodiester bond hydrolysis, endonucleolytic";"0.777777777777778      .";"1      ."
"S-adenosylmethionine-dependent methyltransferase activity";"0.777777777777778      .";"1      ."
"sulfate transmembrane transport";"0.777777777777778      .";"1      ."
"sulfate transmembrane transporter activity";"0.777777777777778      .";"1      ."
"sulfate transport";"0.777777777777778      .";"1      ."
"translation elongation factor activity";"0.777777777777778      .";"1      ."
"tumor necrosis factor-activated receptor activity";"0.777777777777778      .";"1      ."
"ubiquitin-dependent protein catabolic process";"0.777777777777778      .";"1      ."
"ubiquitin-protein transferase activity";"0.777777777777778      .";"1      ."
"ubiquitin binding";"0.777777777777778      .";"1      ."
"ubiquitin conjugating enzyme binding";"0.777777777777778      .";"1      ."
"ubiquitin protein ligase activity";"0.777777777777778      .";"1      ."
"vacuolar membrane";"0.777777777777778      .";"1      ."
"vesicle docking involved in exocytosis";"0.777777777777778      .";"1      ."
"vesicle organization";"0.777777777777778      .";"1      ."
"voltage-gated chloride channel activity";"0.777777777777778      .";"1      ."
"1-phosphatidylinositol-3-kinase activity";"0.833333333333333      .";"1      ."
"adenosine receptor signaling pathway";"0.833333333333333      .";"1      ."
"adenylate cyclase-activating adrenergic receptor signaling pathway";"0.833333333333333      .";"1      ."
"adrenergic receptor activity";"0.833333333333333      .";"1      ."
"aerobic respiration";"0.833333333333333      .";"1      ."
"autophagosome";"0.833333333333333      .";"1      ."
"biological_process";"0.833333333333333      .";"1      ."
"BLOC-1 complex";"0.833333333333333      .";"1      ."
"cell migration";"0.833333333333333      .";"1      ."
"chordate embryonic development";"0.833333333333333      .";"1      ."
"circadian rhythm";"0.833333333333333      .";"1      ."
"coenzyme binding";"0.833333333333333      .";"1      ."
"CTP biosynthetic process";"0.833333333333333      .";"1      ."
"Cul3-RING ubiquitin ligase complex";"0.833333333333333      .";"1      ."
"cullin family protein binding";"0.833333333333333      .";"1      ."
"cysteine-type endopeptidase activity";"0.833333333333333      .";"1      ."
"cysteine-type peptidase activity";"0.833333333333333      .";"1      ."
"cytokine-mediated signaling pathway";"0.833333333333333      .";"1      ."
"cytosolic small ribosomal subunit";"0.833333333333333      .";"1      ."
"defense response to bacterium";"0.833333333333333      .";"1      ."
"defense response to virus";"0.833333333333333      .";"1      ."
"dioxygenase activity";"0.833333333333333      .";"1      ."
"dopamine neurotransmitter receptor activity";"0.833333333333333      .";"1      ."
"eukaryotic translation initiation factor 3 complex";"0.833333333333333      .";"1      ."
"glycogen metabolic process";"0.833333333333333      .";"1      ."
"GTPase activity";"0.833333333333333      .";"1      ."
"heme binding";"0.833333333333333      .";"1      ."
"hydrolase activity, acting on ester bonds";"0.833333333333333      .";"1      ."
"hydrolase activity, acting on glycosyl bonds";"0.833333333333333      .";"1      ."
"hydrolase activity, hydrolyzing O-glycosyl compounds";"0.833333333333333      .";"1      ."
"inorganic anion exchanger activity";"0.833333333333333      .";"1      ."
"intra-Golgi vesicle-mediated transport";"0.833333333333333      .";"1      ."
"intracellular";"0.833333333333333      .";"1      ."
"iron ion binding";"0.833333333333333      .";"1      ."
"lysosome organization";"0.833333333333333      .";"1      ."
"M band";"0.833333333333333      .";"1      ."
"manganese ion binding";"0.833333333333333      .";"1      ."
"mitochondrial fusion";"0.833333333333333      .";"1      ."
"mitochondrial intermembrane space";"0.833333333333333      .";"1      ."
"mitochondrial large ribosomal subunit";"0.833333333333333      .";"1      ."
"mitochondrial matrix";"0.833333333333333      .";"1      ."
"mitochondrial translation";"0.833333333333333      .";"1      ."
"molecular_function";"0.833333333333333      .";"1      ."
"MyD88-dependent toll-like receptor signaling pathway";"0.833333333333333      .";"1      ."
"negative regulation of apoptotic process";"0.833333333333333      .";"1      ."
"nucleotide metabolic process";"0.833333333333333      .";"1      ."
"O-acyltransferase activity";"0.833333333333333      .";"1      ."
"outer dynein arm assembly";"0.833333333333333      .";"1      ."
"oxalate transmembrane transporter activity";"0.833333333333333      .";"1      ."
"oxalate transport";"0.833333333333333      .";"1      ."
"oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen";"0.833333333333333      .";"1      ."
"phosphatidylinositol-4,5-bisphosphate binding";"0.833333333333333      .";"1      ."
"phosphatidylinositol 3-kinase signaling";"0.833333333333333      .";"1      ."
"phospholipase C-activating dopamine receptor signaling pathway";"0.833333333333333      .";"1      ."
"positive regulation of NF-kappaB transcription factor activity";"0.833333333333333      .";"1      ."
"protein kinase binding";"0.833333333333333      .";"1      ."
"proton transport";"0.833333333333333      .";"1      ."
"regeneration";"0.833333333333333      .";"1      ."
"regulation of translation";"0.833333333333333      .";"1      ."
"regulation of translational fidelity";"0.833333333333333      .";"1      ."
"regulatory region DNA binding";"0.833333333333333      .";"1      ."
"response to xenobiotic stimulus";"0.833333333333333      .";"1      ."
"retina morphogenesis in camera-type eye";"0.833333333333333      .";"1      ."
"ribosome binding";"0.833333333333333      .";"1      ."
"RNA phosphodiester bond hydrolysis, exonucleolytic";"0.833333333333333      .";"1      ."
"secondary active sulfate transmembrane transporter activity";"0.833333333333333      .";"1      ."
"SH3/SH2 adaptor activity";"0.833333333333333      .";"1      ."
"signal transducer activity, downstream of receptor";"0.833333333333333      .";"1      ."
"SNAP receptor activity";"0.833333333333333      .";"1      ."
"SNARE complex";"0.833333333333333      .";"1      ."
"sphingolipid biosynthetic process";"0.833333333333333      .";"1      ."
"sphingolipid metabolic process";"0.833333333333333      .";"1      ."
"steroid biosynthetic process";"0.833333333333333      .";"1      ."
"structural constituent of ribosome";"0.833333333333333      .";"1      ."
"sugar:proton symporter activity";"0.833333333333333      .";"1      ."
"swimming behavior";"0.833333333333333      .";"1      ."
"trans-Golgi network";"0.833333333333333      .";"1      ."
"transferase activity, transferring acyl groups";"0.833333333333333      .";"1      ."
"translation";"0.833333333333333      .";"1      ."
"translational initiation";"0.833333333333333      .";"1      ."
"transmembrane transport";"0.833333333333333      .";"1      ."
"tRNA binding";"0.833333333333333      .";"1      ."
"tRNA processing";"0.833333333333333      .";"1      ."
"ubiquitin-dependent ERAD pathway";"0.833333333333333      .";"1      ."
"ubiquitin ligase complex";"0.833333333333333      .";"1      ."
"unfolded protein binding";"0.833333333333333      .";"1      ."
"Z disc";"0.833333333333333      .";"1      ."
"activation of GTPase activity";"0.888888888888889      .";"1      ."
"activation of MAPK activity";"0.888888888888889      .";"1      ."
"ADP transport";"0.888888888888889      .";"1      ."
"alpha-(1->3)-fucosyltransferase activity";"0.888888888888889      .";"1      ."
"aminoacyl-tRNA editing activity";"0.888888888888889      .";"1      ."
"antioxidant activity";"0.888888888888889      .";"1      ."
"ATP transport";"0.888888888888889      .";"1      ."
"autophagy";"0.888888888888889      .";"1      ."
"cation binding";"0.888888888888889      .";"1      ."
"cellular iron ion homeostasis";"0.888888888888889      .";"1      ."
"chaperone binding";"0.888888888888889      .";"1      ."
"cytoplasmic dynein complex";"0.888888888888889      .";"1      ."
"dynein heavy chain binding";"0.888888888888889      .";"1      ."
"endocytosis";"0.888888888888889      .";"1      ."
"endosome";"0.888888888888889      .";"1      ."
"endosome membrane";"0.888888888888889      .";"1      ."
"GDP-dissociation inhibitor activity";"0.888888888888889      .";"1      ."
"Golgi organization";"0.888888888888889      .";"1      ."
"GTP-Rho binding";"0.888888888888889      .";"1      ."
"GTP binding";"0.888888888888889      .";"1      ."
"heart contraction";"0.888888888888889      .";"1      ."
"hemoglobin biosynthetic process";"0.888888888888889      .";"1      ."
"hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amides";"0.888888888888889      .";"1      ."
"inactivation of MAPK activity";"0.888888888888889      .";"1      ."
"isoprenoid biosynthetic process";"0.888888888888889      .";"1      ."
"L-alpha-amino acid transmembrane transport";"0.888888888888889      .";"1      ."
"melanosome";"0.888888888888889      .";"1      ."
"mitochondrial electron transport, cytochrome c to oxygen";"0.888888888888889      .";"1      ."
"mitochondrial respiratory chain complex IV";"0.888888888888889      .";"1      ."
"mitochondrial small ribosomal subunit";"0.888888888888889      .";"1      ."
"mitochondrial transport";"0.888888888888889      .";"1      ."
"mitophagy";"0.888888888888889      .";"1      ."
"myeloid cell development";"0.888888888888889      .";"1      ."
"NAD+ kinase activity";"0.888888888888889      .";"1      ."
"negative regulation of neuron apoptotic process";"0.888888888888889      .";"1      ."
"neuropeptide hormone activity";"0.888888888888889      .";"1      ."
"nucleophagy";"0.888888888888889      .";"1      ."
"nucleotide-excision repair";"0.888888888888889      .";"1      ."
"organic anion transmembrane transporter activity";"0.888888888888889      .";"1      ."
"peroxisomal membrane";"0.888888888888889      .";"1      ."
"phosphatidylinositol-3-phosphate biosynthetic process";"0.888888888888889      .";"1      ."
"phosphatidylinositol-mediated signaling";"0.888888888888889      .";"1      ."
"phospholipase C-activating G-protein coupled receptor signaling pathway";"0.888888888888889      .";"1      ."
"positive regulation of proteasomal ubiquitin-dependent protein catabolic process";"0.888888888888889      .";"1      ."
"protein ADP-ribosylation";"0.888888888888889      .";"1      ."
"protein catabolic process";"0.888888888888889      .";"1      ."
"protein deubiquitination";"0.888888888888889      .";"1      ."
"protein K48-linked deubiquitination";"0.888888888888889      .";"1      ."
"protein secretion";"0.888888888888889      .";"1      ."
"proteolysis involved in cellular protein catabolic process";"0.888888888888889      .";"1      ."
"receptor tyrosine kinase binding";"0.888888888888889      .";"1      ."
"recycling endosome";"0.888888888888889      .";"1      ."
"regulation of anion transmembrane transport";"0.888888888888889      .";"1      ."
"regulation of heart rate";"0.888888888888889      .";"1      ."
